Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
8,0.0,58.38346790194957,2018-09-20 08:00:00,2018-09-20,Thursday,0,4.82,1.79,8.531474358974357,
9,0.0,88.7856216224743,2018-09-20 09:00:00,2018-09-20,Thursday,0,4.82,1.79,11.331923076923076,
10,10.0,76.83611896515488,2018-09-20 10:00:00,2018-09-20,Thursday,0,4.82,1.79,26.189486910256417,
11,10.0,90.50190448115754,2018-09-20 11:00:00,2018-09-20,Thursday,0,4.82,1.79,29.64820411525641,
12,9.871989250183104,53.37111433137212,2018-09-20 12:00:00,2018-09-20,Thursday,0,4.82,1.79,29.592628205128197,
13,0.0,272.9531389215239,2018-09-20 13:00:00,2018-09-20,Thursday,0,4.82,1.79,30.13596256410257,
14,0.0,347.16116797963366,2018-09-20 14:00:00,2018-09-20,Thursday,0,4.82,1.79,30.004745256410256,
15,0.0,340.3996610221764,2018-09-20 15:00:00,2018-09-20,Thursday,0,4.82,1.79,34.311729487307694,
16,0.0,236.00081323294827,2018-09-20 16:00:00,2018-09-20,Thursday,0,4.82,1.79,31.939422948717947,
17,0.0,126.98988734778297,2018-09-20 17:00:00,2018-09-20,Thursday,0,4.82,1.79,30.698589743589746,
8,0.0,59.02616781191688,2018-09-21 08:00:00,2018-09-21,Friday,0,4.82,1.79,7.930641000000001,
9,0.0,99.70370822858078,2018-09-21 09:00:00,2018-09-21,Friday,0,4.82,1.79,10.78589743602564,
10,10.0,78.28972940355855,2018-09-21 10:00:00,2018-09-21,Friday,0,4.82,1.79,18.938846153846153,
11,0.00015783309936523438,235.37829604034803,2018-09-21 11:00:00,2018-09-21,Friday,0,4.82,1.79,22.847948717948714,
12,9.986527442932127,66.17858238934927,2018-09-21 12:00:00,2018-09-21,Friday,0,4.82,1.79,26.524358974358975,
13,10.0,130.9047338988897,2018-09-21 13:00:00,2018-09-21,Friday,0,4.82,1.79,24.315000012820516,
14,0.0,360.9686872992781,2018-09-21 14:00:00,2018-09-21,Friday,0,4.82,1.79,25.474807807692304,
15,1.239776611328125e-05,364.7321782829527,2018-09-21 15:00:00,2018-09-21,Friday,0,4.82,1.79,26.893204987179484,
16,0.0,244.6016512384666,2018-09-21 16:00:00,2018-09-21,Friday,0,4.82,1.79,26.57064103846153,
17,0.0,132.6553904797381,2018-09-21 17:00:00,2018-09-21,Friday,0,4.82,1.79,26.405970256410257,
8,1.9073486328125e-06,101.82299299740647,2018-09-22 08:00:00,2018-09-22,Saturday,0,4.82,1.79,6.5605127821794875,
9,0.0,170.8045915700923,2018-09-22 09:00:00,2018-09-22,Saturday,0,4.82,1.79,6.4612820769230765,
10,10.0,137.42235309118533,2018-09-22 10:00:00,2018-09-22,Saturday,0,4.82,1.79,6.5220512948717975,
11,10.0,149.64361175965064,2018-09-22 11:00:00,2018-09-22,Saturday,0,4.82,1.79,7.012564089743587,
12,8.816658020019531,107.68254385265644,2018-09-22 12:00:00,2018-09-22,Saturday,0,4.82,1.79,10.323203846153847,
13,10.0,235.17688294130207,2018-09-22 13:00:00,2018-09-22,Saturday,0,4.82,1.79,8.487565384615385,
14,4.76837158203125e-07,458.4599069875252,2018-09-22 14:00:00,2018-09-22,Saturday,0,4.82,1.79,10.878719089743589,
15,9.999998092651367,348.8663935051139,2018-09-22 15:00:00,2018-09-22,Saturday,0,4.82,1.79,10.176409115384617,
16,0.0,359.9113712443341,2018-09-22 16:00:00,2018-09-22,Saturday,0,4.82,1.79,11.0275641025641,
17,0.0,220.28107800634382,2018-09-22 17:00:00,2018-09-22,Saturday,0,4.82,1.79,11.056923076923082,
8,0.0,33.34901194895443,2018-09-23 08:00:00,2018-09-23,Sunday,0,4.82,1.79,6.526794897435898,
9,0.0,104.86406119108416,2018-09-23 09:00:00,2018-09-23,Sunday,0,4.82,1.79,6.171538461538463,
10,10.0,63.98992003815032,2018-09-23 10:00:00,2018-09-23,Sunday,0,4.82,1.79,6.655641012820514,
11,9.999981880187988,84.76402489824844,2018-09-23 11:00:00,2018-09-23,Sunday,0,4.82,1.79,6.773974371794874,
12,9.5367431640625e-07,160.52798496678707,2018-09-23 12:00:00,2018-09-23,Sunday,0,4.82,1.79,7.644743602564103,
13,10.0,122.9559927235061,2018-09-23 13:00:00,2018-09-23,Sunday,0,4.82,1.79,7.025129461538459,
14,9.877813339233398,288.47013851137234,2018-09-23 14:00:00,2018-09-23,Sunday,0,4.82,1.79,7.214229512820514,
15,0.0,301.9531857560188,2018-09-23 15:00:00,2018-09-23,Sunday,0,4.82,1.79,7.133589743589742,
16,0.0,221.6318626821917,2018-09-23 16:00:00,2018-09-23,Sunday,0,4.82,1.79,5.554230756410253,
17,0.0,110.76682310879792,2018-09-23 17:00:00,2018-09-23,Sunday,0,4.82,1.79,7.786860256410253,
8,0.0,75.8366609750695,2018-09-24 08:00:00,2018-09-24,Monday,0,4.82,1.23,5.949807653846153,
9,0.0,124.43561876329852,2018-09-24 09:00:00,2018-09-24,Monday,0,4.82,1.23,11.048076935897436,
10,10.0,92.44286794845017,2018-09-24 10:00:00,2018-09-24,Monday,0,4.82,1.23,20.65320498717949,
