,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
0,8,0.0,86.00797689189105,2018-09-20 08:00:00,2018-09-20,Thursday,0,4.82,1.79,8.531474358974357,
1,9,0.0,126.9672441495805,2018-09-20 09:00:00,2018-09-20,Thursday,0,4.82,1.79,11.331923076923074,
2,10,10.0,100.19481955019673,2018-09-20 10:00:00,2018-09-20,Thursday,0,4.82,1.79,26.189486910256413,
3,11,10.0,97.31364148468576,2018-09-20 11:00:00,2018-09-20,Thursday,0,4.82,1.79,29.64820411525641,
4,12,9.871989250183104,53.37111433137212,2018-09-20 12:00:00,2018-09-20,Thursday,0,4.82,1.79,29.592628205128197,
5,13,0.0,272.9531389215239,2018-09-20 13:00:00,2018-09-20,Thursday,0,4.82,1.79,30.13596256410257,
6,14,0.0,347.1611679796337,2018-09-20 14:00:00,2018-09-20,Thursday,0,4.82,1.79,30.004745256410256,
7,15,0.0,340.39966102217636,2018-09-20 15:00:00,2018-09-20,Thursday,0,4.82,1.79,34.311729487307694,
8,16,0.0,236.00081323294827,2018-09-20 16:00:00,2018-09-20,Thursday,0,4.82,1.79,31.939422948717947,
9,17,0.0,126.98988734778295,2018-09-20 17:00:00,2018-09-20,Thursday,0,4.82,1.79,30.698589743589743,
10,8,0.0,69.41142667318401,2018-09-21 08:00:00,2018-09-21,Friday,0,4.82,1.79,7.930641000000001,
11,9,0.0,102.54647987022452,2018-09-21 09:00:00,2018-09-21,Friday,0,4.82,1.79,10.78589743602564,
12,10,10.0,140.84834906713175,2018-09-21 10:00:00,2018-09-21,Friday,0,4.82,1.79,18.938846153846157,
13,11,0.00015783309936523438,235.378296040348,2018-09-21 11:00:00,2018-09-21,Friday,0,4.82,1.79,22.847948717948714,
14,12,9.986527442932127,66.17858238934927,2018-09-21 12:00:00,2018-09-21,Friday,0,4.82,1.79,26.524358974358968,
15,13,10.0,130.9047338988897,2018-09-21 13:00:00,2018-09-21,Friday,0,4.82,1.79,24.31500001282052,
16,14,0.0,360.9686872992781,2018-09-21 14:00:00,2018-09-21,Friday,0,4.82,1.79,25.474807807692304,
17,15,1.239776611328125e-05,364.7321782829527,2018-09-21 15:00:00,2018-09-21,Friday,0,4.82,1.79,26.893204987179484,
18,16,0.0,244.60165123846662,2018-09-21 16:00:00,2018-09-21,Friday,0,4.82,1.79,26.57064103846153,
19,17,0.0,132.6553904797381,2018-09-21 17:00:00,2018-09-21,Friday,0,4.82,1.79,26.405970256410257,
20,8,1.9073486328125e-06,113.34425769384468,2018-09-22 08:00:00,2018-09-22,Saturday,0,4.82,1.79,6.560512782179488,
21,9,0.0,181.3118019871587,2018-09-22 09:00:00,2018-09-22,Saturday,0,4.82,1.79,6.4612820769230765,
22,10,10.0,179.66029096404296,2018-09-22 10:00:00,2018-09-22,Saturday,0,4.82,1.79,6.5220512948717975,
23,11,10.0,158.76097383818845,2018-09-22 11:00:00,2018-09-22,Saturday,0,4.82,1.79,7.012564089743588,
24,12,8.816658020019531,107.68254385265644,2018-09-22 12:00:00,2018-09-22,Saturday,0,4.82,1.79,10.323203846153849,
25,13,10.0,235.1768829413021,2018-09-22 13:00:00,2018-09-22,Saturday,0,4.82,1.79,8.487565384615385,
26,14,4.76837158203125e-07,458.4599069875252,2018-09-22 14:00:00,2018-09-22,Saturday,0,4.82,1.79,10.878719089743589,
27,15,9.999998092651367,348.86639350511393,2018-09-22 15:00:00,2018-09-22,Saturday,0,4.82,1.79,10.176409115384617,
28,16,0.0,359.91137124433413,2018-09-22 16:00:00,2018-09-22,Saturday,0,4.82,1.79,11.0275641025641,
29,17,0.0,220.28107800634385,2018-09-22 17:00:00,2018-09-22,Saturday,0,4.82,1.79,11.056923076923082,
30,8,0.0,48.152064279962985,2018-09-23 08:00:00,2018-09-23,Sunday,0,4.82,1.79,6.526794897435898,
31,9,0.0,157.3396011065779,2018-09-23 09:00:00,2018-09-23,Sunday,0,4.82,1.79,6.1715384615384625,
32,10,10.0,63.98992003815032,2018-09-23 10:00:00,2018-09-23,Sunday,0,4.82,1.79,6.655641012820514,
33,11,9.999981880187988,84.76402489824844,2018-09-23 11:00:00,2018-09-23,Sunday,0,4.82,1.79,6.773974371794873,
34,12,9.5367431640625e-07,160.5279849667871,2018-09-23 12:00:00,2018-09-23,Sunday,0,4.82,1.79,7.644743602564103,
35,13,10.0,122.95599272350607,2018-09-23 13:00:00,2018-09-23,Sunday,0,4.82,1.79,7.025129461538459,
36,14,9.877813339233398,288.4701385113724,2018-09-23 14:00:00,2018-09-23,Sunday,0,4.82,1.79,7.214229512820514,
37,15,0.0,301.95318575601885,2018-09-23 15:00:00,2018-09-23,Sunday,0,4.82,1.79,7.133589743589742,
38,16,0.0,221.6318626821917,2018-09-23 16:00:00,2018-09-23,Sunday,0,4.82,1.79,5.554230756410253,
39,17,0.0,110.76682310879791,2018-09-23 17:00:00,2018-09-23,Sunday,0,4.82,1.79,7.786860256410253,
40,8,0.0,125.05706027628105,2018-09-24 08:00:00,2018-09-24,Monday,0,4.82,1.23,5.949807653846152,
41,9,0.0,147.51156333546126,2018-09-24 09:00:00,2018-09-24,Monday,0,4.82,1.23,11.048076935897436,
42,10,10.0,130.1732509921593,2018-09-24 10:00:00,2018-09-24,Monday,0,4.82,1.23,20.65320498717949,
43,11,9.855424880981444,94.62214979896449,2018-09-24 11:00:00,2018-09-24,Monday,0,4.82,1.23,27.247948717948717,
44,12,0.0,202.9782199108172,2018-09-24 12:00:00,2018-09-24,Monday,0,4.82,1.23,28.968846038461532,
45,13,4.291534423828125e-06,310.33697103162075,2018-09-24 13:00:00,2018-09-24,Monday,0,4.82,1.23,26.78608985897436,
46,14,9.999994277954102,366.58326154078003,2018-09-24 14:00:00,2018-09-24,Monday,0,4.82,1.23,26.64153858974359,
47,15,0.0,408.18997006253625,2018-09-24 15:00:00,2018-09-24,Monday,0,4.82,1.23,27.686538461538454,
48,16,0.0,279.2232499373844,2018-09-24 16:00:00,2018-09-24,Monday,0,4.82,1.23,29.074935897435893,
49,17,0.0,157.84367343058545,2018-09-24 17:00:00,2018-09-24,Monday,0,4.82,1.23,30.39,
50,8,0.0,98.1700891402185,2018-09-25 08:00:00,2018-09-25,Tuesday,0,4.82,1.23,9.958076923076923,
51,9,0.0,83.36480677521352,2018-09-25 09:00:00,2018-09-25,Tuesday,0,4.82,1.23,14.314487166666664,
52,10,10.0,72.98372052436017,2018-09-25 10:00:00,2018-09-25,Tuesday,0,4.82,1.23,32.51307691025641,
53,11,1.0967254638671877e-05,195.94613335397827,2018-09-25 11:00:00,2018-09-25,Tuesday,0,4.82,1.23,30.210126666666664,
54,12,0.001437664031982422,152.9182024907231,2018-09-25 12:00:00,2018-09-25,Tuesday,0,4.82,1.23,33.25846307692308,
55,13,0.04567575454711914,244.4273742748817,2018-09-25 13:00:00,2018-09-25,Tuesday,0,4.82,1.23,28.521539615384626,
56,14,0.002358436584472656,347.0538503126583,2018-09-25 14:00:00,2018-09-25,Tuesday,0,4.82,1.23,28.508714230769233,
57,15,0.0,296.4718778105682,2018-09-25 15:00:00,2018-09-25,Tuesday,0,4.82,1.23,34.019105,
58,16,0.0,194.8749505639568,2018-09-25 16:00:00,2018-09-25,Tuesday,0,4.82,1.23,32.231666794871806,
59,17,0.0,108.87377759277832,2018-09-25 17:00:00,2018-09-25,Tuesday,0,4.82,1.23,32.26346153846155,
60,8,0.0,70.01764839036456,2018-09-26 08:00:00,2018-09-26,Wednesday,0,4.82,1.23,10.682692269358972,
61,9,0.0,143.301922822685,2018-09-26 09:00:00,2018-09-26,Wednesday,0,4.82,1.23,13.772820499999998,
62,10,10.0,83.58060704034821,2018-09-26 10:00:00,2018-09-26,Wednesday,0,4.82,1.23,23.574230782051288,
63,11,0.0002846717834472656,248.44759778224326,2018-09-26 11:00:00,2018-09-26,Wednesday,0,4.82,1.23,28.29641039743591,
64,12,8.994305610656738,69.9879800580137,2018-09-26 12:00:00,2018-09-26,Wednesday,0,4.82,1.23,27.88987164102565,
65,13,10.0,156.62856967377544,2018-09-26 13:00:00,2018-09-26,Wednesday,0,4.82,1.23,30.10294885897436,
66,14,0.0,369.09115763762185,2018-09-26 14:00:00,2018-09-26,Wednesday,0,4.82,1.23,28.945896025641037,
67,15,9.99104118347168,236.65617894598824,2018-09-26 15:00:00,2018-09-26,Wednesday,0,4.82,1.23,30.78487307692308,
68,16,0.0,255.08393930894985,2018-09-26 16:00:00,2018-09-26,Wednesday,0,4.82,1.23,28.57807692307692,
69,17,0.0,158.48622405050986,2018-09-26 17:00:00,2018-09-26,Wednesday,0,4.82,1.23,33.72666666666667,
70,8,9.999991416931152,144.92586805812547,2018-09-27 08:00:00,2018-09-27,Thursday,0,4.82,1.23,8.531474358974357,58.383467901949565
71,9,0.0,237.798137468963,2018-09-27 09:00:00,2018-09-27,Thursday,0,4.82,1.23,11.331923076923074,88.7856216224743
72,10,10.0,158.4562286460474,2018-09-27 10:00:00,2018-09-27,Thursday,0,4.82,1.23,26.189486910256413,76.83611896515488
73,11,10.0,210.44012160954318,2018-09-27 11:00:00,2018-09-27,Thursday,0,4.82,1.23,29.64820411525641,90.50190448115755
74,12,9.710234642028807,116.92939699489985,2018-09-27 12:00:00,2018-09-27,Thursday,0,4.82,1.23,29.592628205128197,53.37111433137212
75,13,10.0,292.6803431090705,2018-09-27 13:00:00,2018-09-27,Thursday,0,4.82,1.23,30.13596256410257,272.9531389215239
76,14,9.999755859375,526.9249903316087,2018-09-27 14:00:00,2018-09-27,Thursday,0,4.82,1.23,30.004745256410256,347.1611679796337
77,15,10.0,438.8457374873712,2018-09-27 15:00:00,2018-09-27,Thursday,0,4.82,1.23,34.311729487307694,340.39966102217636
78,16,0.0,447.90252715456796,2018-09-27 16:00:00,2018-09-27,Thursday,0,4.82,1.23,31.939422948717947,236.00081323294827
79,17,0.0,272.32296437464856,2018-09-27 17:00:00,2018-09-27,Thursday,0,4.82,1.23,30.698589743589743,126.98988734778295
80,8,9.999839782714844,73.34904828004478,2018-09-28 08:00:00,2018-09-28,Friday,0,4.82,1.23,7.930641000000001,59.026167811916885
81,9,0.0,157.00605043234424,2018-09-28 09:00:00,2018-09-28,Friday,0,4.82,1.23,10.78589743602564,99.70370822858078
82,10,10.0,98.16725968361429,2018-09-28 10:00:00,2018-09-28,Friday,0,4.82,1.23,18.938846153846157,78.28972940355855
83,11,0.0264129638671875,251.5894250582712,2018-09-28 11:00:00,2018-09-28,Friday,0,4.82,1.23,22.847948717948714,235.378296040348
84,12,0.0,203.268938866242,2018-09-28 12:00:00,2018-09-28,Friday,0,4.82,1.23,26.524358974358968,66.17858238934927
85,13,10.0,165.1891523387761,2018-09-28 13:00:00,2018-09-28,Friday,0,4.82,1.23,24.31500001282052,130.9047338988897
86,14,10.0,326.0644415618029,2018-09-28 14:00:00,2018-09-28,Friday,0,4.82,1.23,25.474807807692304,360.9686872992781
87,15,9.99980926513672,245.90028091715809,2018-09-28 15:00:00,2018-09-28,Friday,0,4.82,1.23,26.893204987179484,364.73217828295265
88,16,0.0,253.70326939353126,2018-09-28 16:00:00,2018-09-28,Friday,0,4.82,1.23,26.57064103846153,244.60165123846662
89,17,0.0,141.23810116471375,2018-09-28 17:00:00,2018-09-28,Friday,0,4.82,1.23,26.405970256410257,132.6553904797381
90,8,9.99773120880127,37.325050340558256,2018-09-29 08:00:00,2018-09-29,Saturday,1,4.82,1.23,6.560512782179488,101.82299299740649
91,9,0.0,0.0,2018-09-29 09:00:00,2018-09-29,Saturday,1,4.82,1.23,6.4612820769230765,170.80459157009233
92,10,10.0,0.0,2018-09-29 10:00:00,2018-09-29,Saturday,1,4.82,1.23,6.5220512948717975,137.42235309118533
93,11,10.0,0.0,2018-09-29 11:00:00,2018-09-29,Saturday,1,4.82,1.23,7.012564089743588,149.64361175965064
94,12,9.857304573059082,0.0,2018-09-29 12:00:00,2018-09-29,Saturday,1,4.82,1.23,10.323203846153849,107.68254385265644
95,13,10.0,0.0,2018-09-29 13:00:00,2018-09-29,Saturday,1,4.82,1.23,8.487565384615385,235.1768829413021
96,14,9.999164581298828,8.484945955918668,2018-09-29 14:00:00,2018-09-29,Saturday,1,4.82,1.23,10.878719089743589,458.4599069875252
97,15,2.002194881439209,8.441276063874097,2018-09-29 15:00:00,2018-09-29,Saturday,1,4.82,1.23,10.176409115384617,348.86639350511393
98,16,0.0,0.0,2018-09-29 16:00:00,2018-09-29,Saturday,1,4.82,1.23,11.0275641025641,359.91137124433413
99,17,0.0,0.0,2018-09-29 17:00:00,2018-09-29,Saturday,1,4.82,1.23,11.056923076923082,220.28107800634385
100,8,9.99996280670166,65.96647523980619,2018-09-30 08:00:00,2018-09-30,Sunday,0,4.82,1.23,6.526794897435898,33.34901194895443
101,9,0.0,165.3326746180123,2018-09-30 09:00:00,2018-09-30,Sunday,0,4.82,1.23,6.1715384615384625,104.86406119108416
102,10,10.0,104.50198186365064,2018-09-30 10:00:00,2018-09-30,Sunday,0,4.82,1.23,6.655641012820514,63.98992003815032
103,11,0.0003294944763183594,251.77913215777443,2018-09-30 11:00:00,2018-09-30,Sunday,0,4.82,1.23,6.773974371794873,84.76402489824844
104,12,0.0,227.98788758850102,2018-09-30 12:00:00,2018-09-30,Sunday,0,4.82,1.23,7.644743602564103,160.5279849667871
105,13,10.0,184.31773722173958,2018-09-30 13:00:00,2018-09-30,Sunday,0,4.82,1.23,7.025129461538459,122.95599272350609
106,14,10.0,380.96027282734207,2018-09-30 14:00:00,2018-09-30,Sunday,0,4.82,1.23,7.214229512820514,288.4701385113724
107,15,9.937807083129883,271.326723945786,2018-09-30 15:00:00,2018-09-30,Sunday,0,4.82,1.23,7.133589743589742,301.95318575601885
108,16,0.0,288.373095081139,2018-09-30 16:00:00,2018-09-30,Sunday,0,4.82,1.23,5.554230756410253,221.6318626821917
109,17,0.0,153.1522082632406,2018-09-30 17:00:00,2018-09-30,Sunday,0,4.82,1.23,7.786860256410253,110.76682310879791
110,8,10.0,106.98897939582292,2018-10-01 08:00:00,2018-10-01,Monday,0,4.82,4.6,5.949807653846152,75.8366609750695
111,9,0.0,136.1954919150761,2018-10-01 09:00:00,2018-10-01,Monday,0,4.82,4.6,11.048076935897436,124.4356187632985
112,10,10.0,96.93116893420904,2018-10-01 10:00:00,2018-10-01,Monday,0,4.82,4.6,20.65320498717949,92.44286794845017
113,11,10.0,124.77894230173086,2018-10-01 11:00:00,2018-10-01,Monday,0,4.82,4.6,27.247948717948717,94.62214979896449
114,12,8.640420913696289,95.15396744374522,2018-10-01 12:00:00,2018-10-01,Monday,0,4.82,4.6,28.968846038461532,202.9782199108172
115,13,6.390860557556152,262.783279826421,2018-10-01 13:00:00,2018-10-01,Monday,0,4.82,4.6,26.78608985897436,310.33697103162075
116,14,10.0,401.19090100083764,2018-10-01 14:00:00,2018-10-01,Monday,0,4.82,4.6,26.64153858974359,366.58326154078003
117,15,9.92867660522461,327.6092549722096,2018-10-01 15:00:00,2018-10-01,Monday,0,4.82,4.6,27.686538461538454,408.18997006253625
118,16,0.0,309.5659054303688,2018-10-01 16:00:00,2018-10-01,Monday,0,4.82,4.6,29.074935897435893,279.2232499373844
119,17,0.0,179.59881739791595,2018-10-01 17:00:00,2018-10-01,Monday,0,4.82,4.6,30.39,157.84367343058545
120,8,10.0,108.3414828617108,2018-10-02 08:00:00,2018-10-02,Tuesday,0,4.82,4.6,9.958076923076923,46.672418263627655
121,9,0.0,208.182831645042,2018-10-02 09:00:00,2018-10-02,Tuesday,0,4.82,4.6,14.314487166666664,83.36480677521352
122,10,10.0,161.52475366213739,2018-10-02 10:00:00,2018-10-02,Tuesday,0,4.82,4.6,32.51307691025641,72.98372052436017
123,11,9.5367431640625e-07,355.1316050330312,2018-10-02 11:00:00,2018-10-02,Tuesday,0,4.82,4.6,30.210126666666664,195.94613335397827
124,12,9.5367431640625e-07,305.74416536657867,2018-10-02 12:00:00,2018-10-02,Tuesday,0,4.82,4.6,33.25846307692308,152.9182024907231
125,13,10.0,238.90279424876388,2018-10-02 13:00:00,2018-10-02,Tuesday,0,4.82,4.6,28.521539615384626,244.4273742748817
126,14,10.0,495.1629049423504,2018-10-02 14:00:00,2018-10-02,Tuesday,0,4.82,4.6,28.508714230769233,347.0538503126583
127,15,10.0,360.10311749815,2018-10-02 15:00:00,2018-10-02,Tuesday,0,4.82,4.6,34.019105,296.4718778105682
128,16,0.0,380.2521869335095,2018-10-02 16:00:00,2018-10-02,Tuesday,0,4.82,4.6,32.231666794871806,194.8749505639568
129,17,0.0,212.02969990349342,2018-10-02 17:00:00,2018-10-02,Tuesday,0,4.82,4.6,32.26346153846155,108.87377759277832
130,8,10.0,70.4746019946217,2018-10-03 08:00:00,2018-10-03,Wednesday,0,4.82,4.6,10.682692269358972,52.76573546082199
131,9,0.0,107.14903784588944,2018-10-03 09:00:00,2018-10-03,Wednesday,0,4.82,4.6,13.772820499999998,112.03717707754014
132,10,10.0,89.98630070429716,2018-10-03 10:00:00,2018-10-03,Wednesday,0,4.82,4.6,23.574230782051288,83.58060704034821
133,11,10.0,128.13740397632142,2018-10-03 11:00:00,2018-10-03,Wednesday,0,4.82,4.6,28.29641039743591,248.44759778224326
134,12,4.183337211608887,139.99920064303842,2018-10-03 12:00:00,2018-10-03,Wednesday,0,4.82,4.6,27.88987164102565,69.9879800580137
135,13,10.0,156.3477239105867,2018-10-03 13:00:00,2018-10-03,Wednesday,0,4.82,4.6,30.10294885897436,156.62856967377544
136,14,10.0,329.36986066297953,2018-10-03 14:00:00,2018-10-03,Wednesday,0,4.82,4.6,28.945896025641037,369.09115763762185
137,15,9.998637199401855,254.62283811939483,2018-10-03 15:00:00,2018-10-03,Wednesday,0,4.82,4.6,30.78487307692308,236.65617894598824
138,16,0.0,275.7140326831696,2018-10-03 16:00:00,2018-10-03,Wednesday,0,4.82,4.6,28.57807692307692,255.08393930894985
139,17,0.0,146.7110900378083,2018-10-03 17:00:00,2018-10-03,Wednesday,0,4.82,4.6,33.72666666666667,158.48622405050986
140,8,9.999067306518556,68.44509383630017,2018-10-04 08:00:00,2018-10-04,Thursday,0,4.82,4.6,8.531474358974357,65.57268972335183
141,9,0.0,172.79674857976886,2018-10-04 09:00:00,2018-10-04,Thursday,0,4.82,4.6,11.331923076923074,149.56738777220022
142,10,10.0,100.51749043431194,2018-10-04 10:00:00,2018-10-04,Thursday,0,4.82,4.6,26.189486910256413,113.95797301057051
143,11,0.016931533813476562,279.8740913785943,2018-10-04 11:00:00,2018-10-04,Thursday,0,4.82,4.6,29.64820411525641,146.40458980006318
144,12,0.0,219.9778572069844,2018-10-04 12:00:00,2018-10-04,Thursday,0,4.82,4.6,29.592628205128197,82.56932709928998
145,13,10.0,186.50778707693985,2018-10-04 13:00:00,2018-10-04,Thursday,0,4.82,4.6,30.13596256410257,268.5180432511563
146,14,9.904571533203123,412.8870214117058,2018-10-04 14:00:00,2018-10-04,Thursday,0,4.82,4.6,30.004745256410256,420.2442564641121
147,15,0.0,425.97648076129934,2018-10-04 15:00:00,2018-10-04,Thursday,0,4.82,4.6,34.311729487307694,372.054231829553
148,16,0.0,302.51880769965226,2018-10-04 16:00:00,2018-10-04,Thursday,0,4.82,4.6,31.939422948717947,330.0310728889561
149,17,0.0,168.62519592867858,2018-10-04 17:00:00,2018-10-04,Thursday,0,4.82,4.6,30.698589743589743,193.8767036335367
150,8,10.0,58.811848770565405,2018-10-05 08:00:00,2018-10-05,Friday,0,4.82,4.6,7.930641000000001,48.82270006426302
151,9,0.0,151.6914027606221,2018-10-05 09:00:00,2018-10-05,Friday,0,4.82,4.6,10.78589743602564,94.67122068558729
152,10,10.0,112.2293189611971,2018-10-05 10:00:00,2018-10-05,Friday,0,4.82,4.6,18.938846153846157,84.72166319284679
153,11,9.998323440551758,98.48418361424412,2018-10-05 11:00:00,2018-10-05,Friday,0,4.82,4.6,22.847948717948714,230.89198925317996
154,12,2.5272369384765625e-05,196.49733026102038,2018-10-05 12:00:00,2018-10-05,Friday,0,4.82,4.6,26.524358974358968,131.0538936671617
155,13,9.999993324279783,155.52000476770505,2018-10-05 13:00:00,2018-10-05,Friday,0,4.82,4.6,24.31500001282052,141.73147969175898
156,14,10.0,372.3123835740348,2018-10-05 14:00:00,2018-10-05,Friday,0,4.82,4.6,25.474807807692304,325.41324528565065
157,15,1.52587890625e-05,361.0382649918386,2018-10-05 15:00:00,2018-10-05,Friday,0,4.82,4.6,26.893204987179484,287.0449931236682
158,16,0.0,278.6881118904481,2018-10-05 16:00:00,2018-10-05,Friday,0,4.82,4.6,26.57064103846153,236.97354839821998
159,17,0.0,152.50388873113673,2018-10-05 17:00:00,2018-10-05,Friday,0,4.82,4.6,26.405970256410257,130.2060466736148
160,8,0.0,37.638513721190364,2018-10-06 08:00:00,2018-10-06,Saturday,0,4.82,4.6,6.560512782179488,31.701298516754537
161,9,0.0,91.94650953450785,2018-10-06 09:00:00,2018-10-06,Saturday,0,4.82,4.6,6.4612820769230765,67.76028907202023
162,10,10.0,94.69758542254827,2018-10-06 10:00:00,2018-10-06,Saturday,0,4.82,4.6,6.5220512948717975,50.60401498514719
163,11,0.7455258369445801,237.50208357709099,2018-10-06 11:00:00,2018-10-06,Saturday,0,4.82,4.6,7.012564089743588,59.032693106988226
164,12,0.0,160.822471361055,2018-10-06 12:00:00,2018-10-06,Saturday,0,4.82,4.6,10.323203846153849,39.551910597406604
165,13,0.0663294792175293,253.03968718142292,2018-10-06 13:00:00,2018-10-06,Saturday,0,4.82,4.6,8.487565384615385,100.90106968900973
166,14,10.0,304.0979709492087,2018-10-06 14:00:00,2018-10-06,Saturday,0,4.82,4.6,10.878719089743589,209.6701873041124
167,15,0.0,351.0619978894552,2018-10-06 15:00:00,2018-10-06,Saturday,0,4.82,4.6,10.176409115384617,161.30971175551318
168,16,0.0,228.23783930408524,2018-10-06 16:00:00,2018-10-06,Saturday,0,4.82,4.6,11.0275641025641,158.34597928119868
169,17,0.0,112.61626763949127,2018-10-06 17:00:00,2018-10-06,Saturday,0,4.82,4.6,11.056923076923082,94.80565960705377
170,8,10.0,116.43722607847742,2018-10-07 08:00:00,2018-10-07,Sunday,0,4.82,4.6,6.526794897435898,43.480804256555864
171,9,0.0,169.29383841713198,2018-10-07 09:00:00,2018-10-07,Sunday,0,4.82,4.6,6.1715384615384625,107.65607714526442
172,10,10.0,162.18756295455577,2018-10-07 10:00:00,2018-10-07,Sunday,0,4.82,4.6,6.655641012820514,80.16453976789988
173,11,0.00021791458129882807,338.3494327371231,2018-10-07 11:00:00,2018-10-07,Sunday,0,4.82,4.6,6.773974371794873,163.8771511018144
174,12,0.007645130157470703,293.4834670055302,2018-10-07 12:00:00,2018-10-07,Sunday,0,4.82,4.6,7.644743602564103,185.7422398279396
175,13,9.999994277954102,229.7097310524284,2018-10-07 13:00:00,2018-10-07,Sunday,0,4.82,4.6,7.025129461538459,147.28945066399834
176,14,10.0,503.1473045851903,2018-10-07 14:00:00,2018-10-07,Sunday,0,4.82,4.6,7.214229512820514,320.13185582215266
177,15,10.0,369.63943277499885,2018-10-07 15:00:00,2018-10-07,Sunday,0,4.82,4.6,7.133589743589742,270.64160989814445
178,16,0.0,378.39692847076935,2018-10-07 16:00:00,2018-10-07,Sunday,0,4.82,4.6,5.554230756410253,243.4247369977789
179,17,0.0,194.97753136608085,2018-10-07 17:00:00,2018-10-07,Sunday,0,4.82,4.6,7.786860256410253,126.3242957761869
180,8,10.0,78.62089483747063,2018-10-08 08:00:00,2018-10-08,Monday,0,4.82,4.03,5.949807653846152,59.39326530135374
181,9,0.0,143.90032192805495,2018-10-08 09:00:00,2018-10-08,Monday,0,4.82,4.03,11.048076935897436,124.34391339025083
182,10,10.0,127.81167498032153,2018-10-08 10:00:00,2018-10-08,Monday,0,4.82,4.03,20.65320498717949,90.02877311327305
183,11,10.0,100.6936835508231,2018-10-08 11:00:00,2018-10-08,Monday,0,4.82,4.03,27.247948717948717,105.8881303978284
184,12,9.781667709350586,56.61843562696981,2018-10-08 12:00:00,2018-10-08,Monday,0,4.82,4.03,28.968846038461532,138.78975541602762
185,13,9.765369415283203,177.94261266607344,2018-10-08 13:00:00,2018-10-08,Monday,0,4.82,4.03,26.78608985897436,270.1389854604932
186,14,10.0,336.2184978422992,2018-10-08 14:00:00,2018-10-08,Monday,0,4.82,4.03,26.64153858974359,365.0042851759216
187,15,3.6750698089599614,333.251571180185,2018-10-08 15:00:00,2018-10-08,Monday,0,4.82,4.03,27.686538461538454,347.68600949235747
188,16,0.0,284.34458960890566,2018-10-08 16:00:00,2018-10-08,Monday,0,4.82,4.03,29.074935897435893,280.57339510596927
189,17,0.0,146.70090006346618,2018-10-08 17:00:00,2018-10-08,Monday,0,4.82,4.03,30.39,160.79856502835477
190,8,10.0,86.7492683979487,2018-10-09 08:00:00,2018-10-09,Tuesday,0,4.82,4.03,9.958076923076923,51.98152676916334
191,9,0.0,190.9072682833949,2018-10-09 09:00:00,2018-10-09,Tuesday,0,4.82,4.03,14.314487166666664,131.14754177915054
192,10,10.0,116.68318482025008,2018-10-09 10:00:00,2018-10-09,Tuesday,0,4.82,4.03,32.51307691025641,94.12072120998
