hour,iteration,timestamp,reward,actions,price_signal
0,1,2012-01-03,-3.1436682786620094,0.0,0.30153157102760997
1,1,2012-01-03,-3.1436682786620094,0.0,0.28079231947239003
2,1,2012-01-03,-3.1436682786620094,0.046832398,0.27852277747239
3,1,2012-01-03,-3.1436682786620094,0.0,0.27806721247238997
4,1,2012-01-03,-3.1436682786620094,0.0,0.28124719425
5,1,2012-01-03,-3.1436682786620094,0.13896807,0.26641372177760997
6,1,2012-01-03,-3.1436682786620094,0.07318835,0.26459629349999997
7,1,2012-01-03,-3.1436682786620094,0.44291645,0.26323512052761
8,1,2012-01-03,-3.1436682786620094,0.09152996,1.001785146
9,1,2012-01-03,-3.1436682786620094,0.0,0.4773649300322999
10,1,2012-01-03,-3.1436682786620094,0.00082832976,0.39492127949999994
11,1,2012-01-03,-3.1436682786620094,0.00086015713,1.195577232177
12,1,2012-01-03,-3.1436682786620094,0.30423626,-0.019207518000000093
13,1,2012-01-03,-3.1436682786620094,0.0,0.44522610732299994
14,1,2012-01-03,-3.1436682786620094,0.0,1.0495440871769999
15,1,2012-01-03,-3.1436682786620094,0.00066323904,0.8295578311770001
16,1,2012-01-03,-3.1436682786620094,0.00030359326,1.257110993823
17,1,2012-01-03,-3.1436682786620094,0.0,1.45908144
18,1,2012-01-03,-3.1436682786620094,0.0,1.436414914677
19,1,2012-01-03,-3.1436682786620094,0.0,1.429951684677
20,1,2012-01-03,-3.1436682786620094,0.0,1.3732837574999999
21,1,2012-01-03,-3.1436682786620094,0.069092624,1.1478464054739
22,1,2012-01-03,-3.1436682786620094,0.0,0.9364573432500001
23,1,2012-01-03,-3.1436682786620094,0.0014952879,0.38206165799999997
0,2,2012-01-04,-3.1395198482604956,0.0009001178,0.30153157102760997
1,2,2012-01-04,-3.1395198482604956,0.00040485157,0.28079231947239003
2,2,2012-01-04,-3.1395198482604956,0.052029107,0.27852277747239
3,2,2012-01-04,-3.1395198482604956,0.0,0.27806721247238997
