hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,19.0,-22.558081731594992,0.35093817,0.30153157102760997
1,1,2012-01-03,19.0,19.0,-22.558081731594992,0.00085711264,0.28079231947239003
2,1,2012-01-03,19.0,355.95070292797755,-22.558081731594992,0.00010753242,0.27852277747239
3,1,2012-01-03,19.0,361.0,-22.558081731594992,0.0,0.27806721247238997
4,1,2012-01-03,19.0,19.0,-22.558081731594992,0.0,0.28124719425
5,1,2012-01-03,19.0,361.0,-22.558081731594992,0.0,0.26641372177760997
6,1,2012-01-03,19.0,361.0,-22.558081731594992,0.24065487,0.26459629349999997
7,1,2012-01-03,44.29933857178916,361.0,-22.558081731594992,0.26914653,0.26323512052761
8,1,2012-01-03,80.81421331325257,19.0,-22.558081731594992,0.14146505,1.001785146
9,1,2012-01-03,96.43970297015879,19.0,-22.558081731594992,0.518846,0.4773649300322999
10,1,2012-01-03,207.21915115323048,19.0,-22.558081731594992,0.0007895685,0.39492127949999994
11,1,2012-01-03,217.58014245629352,19.0,-22.558081731594992,0.0005734909,1.195577232177
12,1,2012-01-03,183.47460917164855,361.0,-22.558081731594992,0.17080337,-0.019207518000000093
13,1,2012-01-03,259.0240196817251,19.0,-22.558081731594992,0.0,0.44522610732299994
14,1,2012-01-03,361.0,19.0,-22.558081731594992,0.18048604,1.0495440871769999
15,1,2012-01-03,321.18975266114614,19.0,-22.558081731594992,0.0005535185,0.8295578311770001
16,1,2012-01-03,227.9411373199181,19.0,-22.558081731594992,0.0,1.257110993823
17,1,2012-01-03,145.05345102176605,19.0,-22.558081731594992,0.0,1.45908144
18,1,2012-01-03,98.11038067070415,19.0,-22.558081731594992,0.23038322,1.436414914677
19,1,2012-01-03,51.804803936345024,19.0,-22.558081731594992,0.0,1.429951684677
20,1,2012-01-03,19.0,19.0,-22.558081731594992,0.22467116,1.3732837574999999
21,1,2012-01-03,19.0,19.0,-22.558081731594992,0.2689573,1.1478464054739
22,1,2012-01-03,19.0,19.0,-22.558081731594992,0.18669061,0.9364573432500001
23,1,2012-01-03,19.0,19.0,-22.558081731594992,0.00046800546,0.38206165799999997
0,2,2012-01-04,19.0,19.0,-22.534188675255713,0.24104646,0.30153157102760997
1,2,2012-01-04,19.0,19.0,-22.534188675255713,0.0,0.28079231947239003
2,2,2012-01-04,19.0,346.9465563264799,-22.534188675255713,0.0010354761,0.27852277747239
3,2,2012-01-04,19.0,361.0,-22.534188675255713,0.0,0.27806721247238997
4,2,2012-01-04,19.0,19.0,-22.534188675255713,0.0023143578,0.28124719425
5,2,2012-01-04,19.0,361.0,-22.534188675255713,0.0,0.26641372177760997
6,2,2012-01-04,19.0,361.0,-22.534188675255713,0.17325258,0.26459629349999997
7,2,2012-01-04,46.340227474715505,361.0,-22.534188675255713,0.2240118,0.26323512052761
8,2,2012-01-04,78.46587177354124,19.0,-22.534188675255713,0.19581045,1.001785146
9,2,2012-01-04,96.87300893975818,19.0,-22.534188675255713,0.5095743,0.4773649300322999
10,2,2012-01-04,206.03957199369293,19.0,-22.534188675255713,0.0,0.39492127949999994
11,2,2012-01-04,216.34155059337758,19.0,-22.534188675255713,0.0,1.195577232177
12,2,2012-01-04,180.31029126033565,361.0,-22.534188675255713,0.22304903,-0.019207518000000093
13,2,2012-01-04,257.54946499211616,19.0,-22.534188675255713,0.0,0.44522610732299994
14,2,2012-01-04,361.0,19.0,-22.534188675255713,0.12722859,1.0495440871769999
15,2,2012-01-04,319.361326607454,19.0,-22.534188675255713,0.00031129003,0.8295578311770001
16,2,2012-01-04,226.64352919306222,19.0,-22.534188675255713,0.0,1.257110993823
17,2,2012-01-04,144.22769883753136,19.0,-22.534188675255713,0.00012297898,1.45908144
18,2,2012-01-04,100.2841436480431,19.0,-22.534188675255713,0.16295561,1.436414914677
19,2,2012-01-04,51.50987101285202,19.0,-22.534188675255713,0.00046196443,1.429951684677
20,2,2012-01-04,19.0,19.0,-22.534188675255713,0.20016211,1.3732837574999999
21,2,2012-01-04,19.0,19.0,-22.534188675255713,0.24030313,1.1478464054739
22,2,2012-01-04,19.0,19.0,-22.534188675255713,0.24351203,0.9364573432500001
23,2,2012-01-04,19.0,19.0,-22.534188675255713,0.0,0.38206165799999997
0,3,2012-01-05,19.0,19.0,-22.530179799662957,0.19058117,0.30153157102760997
1,3,2012-01-05,19.0,19.0,-22.530179799662957,0.0,0.28079231947239003
2,3,2012-01-05,19.0,343.4778075888235,-22.530179799662957,0.0006288432,0.27852277747239
3,3,2012-01-05,19.0,361.0,-22.530179799662957,0.0,0.27806721247238997
4,3,2012-01-05,19.0,19.0,-22.530179799662957,0.019827163,0.28124719425
5,3,2012-01-05,19.0,361.0,-22.530179799662957,0.0,0.26641372177760997
6,3,2012-01-05,19.0,361.0,-22.530179799662957,0.13658175,0.26459629349999997
