hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,19.0,-2.793446790170658,0.11112065,0.30153157102760997
1,1,2012-01-03,19.0,19.0,-2.793446790170658,0.00223391,0.28079231947239003
2,1,2012-01-03,19.0,335.6469060982619,-2.793446790170658,0.00039437678,0.27852277747239
3,1,2012-01-03,19.0,361.0,-2.793446790170658,0.15411109,0.27806721247238997
4,1,2012-01-03,19.0,19.0,-2.793446790170658,0.1378707,0.28124719425
5,1,2012-01-03,19.0,361.0,-2.793446790170658,0.000941562,0.26641372177760997
6,1,2012-01-03,19.381369388052853,361.0,-2.793446790170658,0.23961934,0.26459629349999997
7,1,2012-01-03,49.395898307366316,361.0,-2.793446790170658,0.27968162,0.26323512052761
8,1,2012-01-03,80.0493368783032,19.0,-2.793446790170658,0.070380695,1.001785146
9,1,2012-01-03,120.40281582437152,19.0,-2.793446790170658,0.00040055937,0.4773649300322999
10,1,2012-01-03,200.29347046368304,19.0,-2.793446790170658,0.1236351,0.39492127949999994
11,1,2012-01-03,210.70610543449092,19.0,-2.793446790170658,0.00032735002,1.195577232177
12,1,2012-01-03,179.83318960664334,361.0,-2.793446790170658,0.27991056,-0.019207518000000093
13,1,2012-01-03,249.926590316594,19.0,-2.793446790170658,0.36559293,0.44522610732299994
14,1,2012-01-03,361.0,19.0,-2.793446790170658,0.0,1.0495440871769999
15,1,2012-01-03,311.04385827487073,19.0,-2.793446790170658,3.5116489e-06,0.8295578311770001
16,1,2012-01-03,220.7407756950264,19.0,-2.793446790170658,1.1042325e-05,1.257110993823
17,1,2012-01-03,140.47142486511797,19.0,-2.793446790170658,0.0,1.45908144
18,1,2012-01-03,99.98074270941952,19.0,-2.793446790170658,0.11544921,1.436414914677
19,1,2012-01-03,49.16532386132171,19.0,-2.793446790170658,0.5081039,1.429951684677
20,1,2012-01-03,19.256004473000292,19.0,-2.793446790170658,0.2997846,1.3732837574999999
21,1,2012-01-03,19.0,19.0,-2.793446790170658,0.25135204,1.1478464054739
22,1,2012-01-03,19.0,19.0,-2.793446790170658,0.0010514102,0.9364573432500001
23,1,2012-01-03,19.0,19.0,-2.793446790170658,0.0005524173,0.38206165799999997
0,2,2012-01-04,19.0,19.0,-2.793435708622916,0.16837753,0.30153157102760997
1,2,2012-01-04,19.0,19.0,-2.793435708622916,0.000558282,0.28079231947239003
2,2,2012-01-04,19.0,335.4699482388277,-2.793435708622916,0.00065566786,0.27852277747239
3,2,2012-01-04,19.0,361.0,-2.793435708622916,0.0966635,0.27806721247238997
4,2,2012-01-04,19.0,19.0,-2.793435708622916,0.05991648,0.28124719425
5,2,2012-01-04,19.0,361.0,-2.793435708622916,0.0008388777,0.26641372177760997
6,2,2012-01-04,19.33430548360734,361.0,-2.793435708622916,0.2604562,0.26459629349999997
7,2,2012-01-04,49.490704562638285,361.0,-2.793435708622916,0.23532608,0.26323512052761
8,2,2012-01-04,79.83393955101371,19.0,-2.793435708622916,0.14197166,1.001785146
9,2,2012-01-04,120.39407014113593,19.0,-2.793435708622916,0.0019226751,0.4773649300322999
10,2,2012-01-04,200.2251726785946,19.0,-2.793435708622916,0.1451079,0.39492127949999994
11,2,2012-01-04,210.63440290927767,19.0,-2.793435708622916,0.020898277,1.195577232177
12,2,2012-01-04,179.79129939307015,361.0,-2.793435708622916,0.29848385,-0.019207518000000093
13,2,2012-01-04,249.9460444271988,19.0,-2.793435708622916,0.34557614,0.44522610732299994
14,2,2012-01-04,361.0,19.0,-2.793435708622916,0.0,1.0495440871769999
15,2,2012-01-04,311.03281213242707,19.0,-2.793435708622916,0.00027231133,0.8295578311770001
16,2,2012-01-04,220.72919206208383,19.0,-2.793435708622916,0.0013897377,1.257110993823
17,2,2012-01-04,140.4668189247171,19.0,-2.793435708622916,0.0,1.45908144
18,2,2012-01-04,100.1138657042153,19.0,-2.793435708622916,0.07022945,1.436414914677
19,2,2012-01-04,49.18442447750016,19.0,-2.793435708622916,0.56529874,1.429951684677
20,2,2012-01-04,19.292895791348183,19.0,-2.793435708622916,0.2803537,1.3732837574999999
21,2,2012-01-04,19.0,19.0,-2.793435708622916,0.27827287,1.1478464054739
22,2,2012-01-04,19.0,19.0,-2.793435708622916,0.0,0.9364573432500001
23,2,2012-01-04,19.0,19.0,-2.793435708622916,6.17624e-05,0.38206165799999997
0,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.1766635,0.30153157102760997
1,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.0011217564,0.28079231947239003
2,3,2012-01-05,19.0,335.57807770839634,-2.7933570607003166,0.0,0.27852277747239
3,3,2012-01-05,19.0,361.0,-2.7933570607003166,0.11996193,0.27806721247238997
4,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.07364509,0.28124719425
5,3,2012-01-05,19.0,361.0,-2.7933570607003166,0.0,0.26641372177760997
6,3,2012-01-05,19.325848772031712,361.0,-2.7933570607003166,0.26560354,0.26459629349999997
7,3,2012-01-05,49.51842322689332,361.0,-2.7933570607003166,0.22633079,0.26323512052761
8,3,2012-01-05,79.82314241878721,19.0,-2.7933570607003166,0.1494962,1.001785146
9,3,2012-01-05,120.4155092934393,19.0,-2.7933570607003166,0.00013542864,0.4773649300322999
10,3,2012-01-05,200.23826735579837,19.0,-2.7933570607003166,0.14978486,0.39492127949999994
11,3,2012-01-05,210.62869034663441,19.0,-2.7933570607003166,0.03151813,1.195577232177
12,3,2012-01-05,179.80545557409815,361.0,-2.7933570607003166,0.3036049,-0.019207518000000093
13,3,2012-01-05,249.9985337825108,19.0,-2.7933570607003166,0.33268285,0.44522610732299994
14,3,2012-01-05,361.0,19.0,-2.7933570607003166,0.00096889347,1.0495440871769999
15,3,2012-01-05,311.07450192683297,19.0,-2.7933570607003166,0.0,0.8295578311770001
16,3,2012-01-05,220.76075954796514,19.0,-2.7933570607003166,0.0005678724,1.257110993823
17,3,2012-01-05,140.48525893469875,19.0,-2.7933570607003166,0.0,1.45908144
18,3,2012-01-05,100.05908534920364,19.0,-2.7933570607003166,0.09250347,1.436414914677
19,3,2012-01-05,49.18405913645574,19.0,-2.7933570607003166,0.5536482,1.429951684677
20,3,2012-01-05,19.260542043046918,19.0,-2.7933570607003166,0.2983649,1.3732837574999999
21,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.2909476,1.1478464054739
22,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.00012583211,0.9364573432500001
23,3,2012-01-05,19.0,19.0,-2.7933570607003166,0.0,0.38206165799999997
0,4,2012-01-06,19.0,19.0,-2.7933306492496652,0.19894077,0.30153157102760997
1,4,2012-01-06,19.0,19.0,-2.7933306492496652,0.0,0.28079231947239003
2,4,2012-01-06,19.0,335.50990036638626,-2.7933306492496652,0.0018846226,0.27852277747239
3,4,2012-01-06,19.0,361.0,-2.7933306492496652,0.09056258,0.27806721247238997
4,4,2012-01-06,19.0,19.0,-2.7933306492496652,0.051042207,0.28124719425
5,4,2012-01-06,19.0,361.0,-2.7933306492496652,0.00044932778,0.26641372177760997
6,4,2012-01-06,19.302231189058727,361.0,-2.7933306492496652,0.2767692,0.26459629349999997
7,4,2012-01-06,49.57784394492349,361.0,-2.7933306492496652,0.20177248,0.26323512052761
8,4,2012-01-06,79.71228525082623,19.0,-2.7933306492496652,0.18967755,1.001785146
9,4,2012-01-06,120.41319455251454,19.0,-2.7933306492496652,0.0,0.4773649300322999
10,4,2012-01-06,200.24046824814852,19.0,-2.7933306492496652,0.14738357,0.39492127949999994
11,4,2012-01-06,210.59552579853752,19.0,-2.7933306492496652,0.040575556,1.195577232177
12,4,2012-01-06,179.75651882793403,361.0,-2.7933306492496652,0.32973048,-0.019207518000000093
13,4,2012-01-06,250.0240003722242,19.0,-2.7933306492496652,0.31392595,0.44522610732299994
14,4,2012-01-06,361.0,19.0,-2.7933306492496652,0.0,1.0495440871769999
15,4,2012-01-06,311.0671577579796,19.0,-2.7933306492496652,8.295326e-05,0.8295578311770001
16,4,2012-01-06,220.75752334627666,19.0,-2.7933306492496652,0.0,1.257110993823
17,4,2012-01-06,140.48123360580288,19.0,-2.7933306492496652,0.00026224556,1.45908144
18,4,2012-01-06,100.08531944378541,19.0,-2.7933306492496652,0.08310318,1.436414914677
19,4,2012-01-06,49.194100241060546,19.0,-2.7933306492496652,0.57174253,1.429951684677
20,4,2012-01-06,19.302497787314103,19.0,-2.7933306492496652,0.27663815,1.3732837574999999
