hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,19.0,-22.307600077444423,0.0010773138,0.30153157102760997
1,1,2012-01-03,19.0,84.6377389641779,-22.307600077444423,0.0006834864,0.28079231947239003
2,1,2012-01-03,19.0,361.0,-22.307600077444423,0.020281997,0.27852277747239
3,1,2012-01-03,19.0,361.0,-22.307600077444423,0.01599693,0.27806721247238997
4,1,2012-01-03,19.0,19.0,-22.307600077444423,0.18016101,0.28124719425
5,1,2012-01-03,19.0,361.0,-22.307600077444423,0.42486176,0.26641372177760997
6,1,2012-01-03,22.873511929411556,361.0,-22.307600077444423,0.0,0.26459629349999997
7,1,2012-01-03,19.0,361.0,-22.307600077444423,0.40590778,0.26323512052761
8,1,2012-01-03,62.604367792803885,19.0,-22.307600077444423,0.2526038,1.001785146
9,1,2012-01-03,137.24107157646932,19.0,-22.307600077444423,0.00080733345,0.4773649300322999
10,1,2012-01-03,213.1327650092106,19.0,-22.307600077444423,0.1364229,0.39492127949999994
11,1,2012-01-03,240.17187525882133,19.0,-22.307600077444423,0.0002859926,1.195577232177
12,1,2012-01-03,205.861607364704,361.0,-22.307600077444423,0.000947189,-0.019207518000000093
13,1,2012-01-03,285.91889911764446,19.0,-22.307600077444423,0.0,0.44522610732299994
14,1,2012-01-03,361.0,19.0,-22.307600077444423,0.0,1.0495440871769999
15,1,2012-01-03,354.53943490587915,19.0,-22.307600077444423,0.0,0.8295578311770001
16,1,2012-01-03,251.6086312235271,19.0,-22.307600077444423,0.0,1.257110993823
17,1,2012-01-03,124.14886891937476,19.0,-22.307600077444423,0.3144748,1.45908144
18,1,2012-01-03,86.53670586633174,19.0,-22.307600077444423,0.2433457,1.436414914677
19,1,2012-01-03,19.0,19.0,-22.307600077444423,0.485804,1.429951684677
20,1,2012-01-03,19.0,19.0,-22.307600077444423,0.31429258,1.3732837574999999
21,1,2012-01-03,19.0,19.0,-22.307600077444423,0.1817783,1.1478464054739
22,1,2012-01-03,19.0,19.0,-22.307600077444423,0.0,0.9364573432500001
23,1,2012-01-03,19.0,19.0,-22.307600077444423,0.0007803992,0.38206165799999997
0,2,2012-01-04,19.0,19.0,-22.30555345738298,0.0024557246,0.30153157102760997
1,2,2012-01-04,19.0,70.73440288068487,-22.30555345738298,0.00043514548,0.28079231947239003
2,2,2012-01-04,19.0,361.0,-22.30555345738298,0.0044226735,0.27852277747239
3,2,2012-01-04,19.0,361.0,-22.30555345738298,0.0003860992,0.27806721247238997
4,2,2012-01-04,19.0,19.0,-22.30555345738298,0.13979965,0.28124719425
5,2,2012-01-04,19.0,361.0,-22.30555345738298,0.42719194,0.26641372177760997
6,2,2012-01-04,22.689487640703856,361.0,-22.30555345738298,0.0,0.26459629349999997
7,2,2012-01-04,19.0,361.0,-22.30555345738298,0.36974907,0.26323512052761
8,2,2012-01-04,62.32571866724614,19.0,-22.30555345738298,0.2506203,1.001785146
9,2,2012-01-04,136.13692584422313,19.0,-22.30555345738298,0.0009579125,0.4773649300322999
10,2,2012-01-04,209.22162219462638,19.0,-22.30555345738298,0.15578364,0.39492127949999994
11,2,2012-01-04,238.23962022739047,19.0,-22.30555345738298,0.0,1.195577232177
12,2,2012-01-04,204.2053887663347,361.0,-22.30555345738298,0.0,-0.019207518000000093
13,2,2012-01-04,283.6185955087982,19.0,-22.30555345738298,6.2898453e-06,0.44522610732299994
14,2,2012-01-04,361.0,19.0,-22.30555345738298,0.00051081524,1.0495440871769999
15,2,2012-01-04,351.68705843090976,19.0,-22.30555345738298,0.0013444013,0.8295578311770001
16,2,2012-01-04,249.5843640477424,19.0,-22.30555345738298,0.0,1.257110993823
17,2,2012-01-04,122.79719031791836,19.0,-22.30555345738298,0.31758517,1.45908144
18,2,2012-01-04,90.22843123479156,19.0,-22.30555345738298,0.20466752,1.436414914677
19,2,2012-01-04,19.0,19.0,-22.30555345738298,0.473711,1.429951684677
20,2,2012-01-04,19.0,19.0,-22.30555345738298,0.29435036,1.3732837574999999
