hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,0.31992190177761
1,1,2012-01-03,91.64551573948117,19.0,-1529.6644226647418,0.76814485,0.33407616824999997
2,1,2012-01-03,114.57814266433267,19.0,-1529.6644226647418,0.85889167,0.36283543447239
3,1,2012-01-03,118.5955257915546,19.0,-1529.6644226647418,0.87381935,0.3554193885
4,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.3459191,0.33135106125
5,1,2012-01-03,305.8488015574219,19.0,-1529.6644226647418,1.4032689,0.31591085902761
6,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,0.35511567847239006
7,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,0.36162542625
8,1,2012-01-03,77.10978671417837,247.20502737109885,-1529.6644226647418,0.71025366,0.010571790000000062
9,1,2012-01-03,33.9946976734498,361.0,-1529.6644226647418,0.4804893,-0.27350396446770014
10,1,2012-01-03,93.37625423528416,361.0,-1529.6644226647418,0.78815585,-0.044425581177000226
11,1,2012-01-03,19.0,361.0,-1529.6644226647418,0.0,-0.10516169399999999
12,1,2012-01-03,361.0,361.0,-1529.6644226647418,1.9621265,-0.20233462903229976
13,1,2012-01-03,361.0,19.0,-1529.6644226647418,2.0078678,0.13015494917699985
14,1,2012-01-03,58.15778608340144,19.0,-1529.6644226647418,0.6422154,0.294183232323
15,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,0.700591522323
16,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,1.016678514177
17,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,1.2470230575
18,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,1.2736754025
19,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.03005372,1.106950877823
20,1,2012-01-03,19.0,19.0,-1529.6644226647418,0.0,1.215236627823
21,1,2012-01-03,32.198980415993965,19.0,-1529.6644226647418,0.45640826,1.00018260375
22,1,2012-01-03,151.03742941151938,19.0,-1529.6644226647418,0.98612005,0.80953210252761
23,1,2012-01-03,44.66210708448132,19.0,-1529.6644226647418,0.5362374,0.35526684322239
0,2,2012-01-04,19.0,19.0,-978.0991891276155,0.0,0.31992190177761
1,2,2012-01-04,19.0,19.0,-978.0991891276155,0.06930854,0.33407616824999997
2,2,2012-01-04,19.0,19.0,-978.0991891276155,0.24596736,0.36283543447239
3,2,2012-01-04,19.0,19.0,-978.0991891276155,0.3729812,0.3554193885
4,2,2012-01-04,259.00925660690905,19.0,-978.0991891276155,1.864921,0.33135106125
5,2,2012-01-04,19.0,19.0,-978.0991891276155,0.084852226,0.31591085902761
6,2,2012-01-04,163.41497386851015,19.0,-978.0991891276155,1.4819943,0.35511567847239006
7,2,2012-01-04,361.0,19.0,-978.0991891276155,2.384656,0.36162542625
8,2,2012-01-04,19.0,361.0,-978.0991891276155,0.0,0.010571790000000062
9,2,2012-01-04,19.0,361.0,-978.0991891276155,0.0,-0.27350396446770014
10,2,2012-01-04,19.0,361.0,-978.0991891276155,0.0,-0.044425581177000226
11,2,2012-01-04,19.0,361.0,-978.0991891276155,0.0,-0.10516169399999999
12,2,2012-01-04,361.0,361.0,-978.0991891276155,2.3587267,-0.20233462903229976
13,2,2012-01-04,361.0,35.14765315938531,-978.0991891276155,2.9232588,0.13015494917699985
14,2,2012-01-04,19.0,19.0,-978.0991891276155,0.4066736,0.294183232323
15,2,2012-01-04,102.11012399194323,19.0,-978.0991891276155,1.18411,0.700591522323
16,2,2012-01-04,67.80436490159812,19.0,-978.0991891276155,0.9656422,1.016678514177
17,2,2012-01-04,19.0,19.0,-978.0991891276155,0.0,1.2470230575
18,2,2012-01-04,19.0,19.0,-978.0991891276155,0.43680313,1.2736754025
19,2,2012-01-04,89.41593077799538,19.0,-978.0991891276155,1.098026,1.106950877823
20,2,2012-01-04,19.0,19.0,-978.0991891276155,0.0,1.215236627823
21,2,2012-01-04,55.17924916380374,19.0,-978.0991891276155,0.8613577,1.00018260375
22,2,2012-01-04,96.21375384862586,19.0,-978.0991891276155,1.1366359,0.80953210252761
23,2,2012-01-04,19.0,19.0,-978.0991891276155,0.20815605,0.35526684322239
0,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,0.31992190177761
1,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,0.33407616824999997
2,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,0.36283543447239
3,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.19052577,0.3554193885
4,3,2012-01-05,361.0,19.0,-1924.9376241405257,1.860144,0.33135106125
5,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.37077925,0.31591085902761
6,3,2012-01-05,361.0,19.0,-1924.9376241405257,2.4441445,0.35511567847239006
7,3,2012-01-05,233.5060758944098,19.0,-1924.9376241405257,1.4106461,0.36162542625
8,3,2012-01-05,83.73987540870093,294.26673383419995,-1924.9376241405257,0.84842926,0.010571790000000062
9,3,2012-01-05,19.0,361.0,-1924.9376241405257,0.0,-0.27350396446770014
10,3,2012-01-05,19.0,361.0,-1924.9376241405257,0.20710792,-0.044425581177000226
11,3,2012-01-05,19.38729133450602,361.0,-1924.9376241405257,0.43104756,-0.10516169399999999
12,3,2012-01-05,19.0,361.0,-1924.9376241405257,0.0,-0.20233462903229976
13,3,2012-01-05,361.0,19.0,-1924.9376241405257,2.0704134,0.13015494917699985
14,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.25763798,0.294183232323
15,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,0.700591522323
16,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,1.016678514177
17,3,2012-01-05,94.94715800391812,19.0,-1924.9376241405257,0.90614563,1.2470230575
18,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.03290137,1.2736754025
19,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,1.106950877823
20,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,1.215236627823
21,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.13361737,1.00018260375
22,3,2012-01-05,19.0,19.0,-1924.9376241405257,0.0,0.80953210252761
23,3,2012-01-05,280.68633319266485,19.0,-1924.9376241405257,1.5446614,0.35526684322239
0,4,2012-01-06,98.89608773772684,19.0,-421.3857541375132,0.85335875,0.31992190177761
1,4,2012-01-06,26.996568414007204,19.0,-421.3857541375132,0.44585782,0.33407616824999997
2,4,2012-01-06,237.03587455536558,19.0,-421.3857541375132,1.3211409,0.36283543447239
3,4,2012-01-06,19.0,19.0,-421.3857541375132,0.0,0.3554193885
4,4,2012-01-06,19.0,19.0,-421.3857541375132,0.0,0.33135106125
5,4,2012-01-06,61.698576118277934,19.0,-421.3857541375132,0.67403066,0.31591085902761
6,4,2012-01-06,312.7202562169467,19.0,-421.3857541375132,1.5181289,0.35511567847239006
7,4,2012-01-06,126.37176584660837,19.0,-421.3857541375132,0.9672323,0.36162542625
8,4,2012-01-06,19.0,361.0,-421.3857541375132,0.0,0.010571790000000062
9,4,2012-01-06,361.0,361.0,-421.3857541375132,2.1428163,-0.27350396446770014
10,4,2012-01-06,19.0,361.0,-421.3857541375132,0.0,-0.044425581177000226
11,4,2012-01-06,19.0,361.0,-421.3857541375132,0.0,-0.10516169399999999
12,4,2012-01-06,19.0,361.0,-421.3857541375132,0.0,-0.20233462903229976
13,4,2012-01-06,186.72419089294218,119.55306288482508,-421.3857541375132,1.183192,0.13015494917699985
14,4,2012-01-06,19.0,19.0,-421.3857541375132,0.33667868,0.294183232323
15,4,2012-01-06,48.71709513291428,19.0,-421.3857541375132,0.6242822,0.700591522323
16,4,2012-01-06,137.96856572693986,19.0,-421.3857541375132,1.0187892,1.016678514177
17,4,2012-01-06,73.93151983002853,19.0,-421.3857541375132,0.74725807,1.2470230575
18,4,2012-01-06,108.40251477403164,19.0,-421.3857541375132,0.89901155,1.2736754025
19,4,2012-01-06,19.0,19.0,-421.3857541375132,0.10310744,1.106950877823
20,4,2012-01-06,19.0,19.0,-421.3857541375132,0.0,1.215236627823
21,4,2012-01-06,143.83862488669962,19.0,-421.3857541375132,1.0296385,1.00018260375
22,4,2012-01-06,19.0,19.0,-421.3857541375132,0.080427356,0.80953210252761
23,4,2012-01-06,152.25142275233634,19.0,-421.3857541375132,1.0588216,0.35526684322239
0,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.31992190177761
1,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.33407616824999997
2,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.36283543447239
3,5,2012-01-07,19.0,19.0,-4934.574504840305,0.2052654,0.3554193885
4,5,2012-01-07,19.0,19.0,-4934.574504840305,0.3303144,0.33135106125
5,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.31591085902761
6,5,2012-01-07,354.0400560738305,19.0,-4934.574504840305,1.8556359,0.35511567847239006
7,5,2012-01-07,61.934552896798486,19.0,-4934.574504840305,0.7791174,0.36162542625
8,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.010571790000000062
9,5,2012-01-07,144.08640608569135,361.0,-4934.574504840305,1.1885145,-0.27350396446770014
10,5,2012-01-07,19.0,327.45965880345983,-4934.574504840305,0.0,-0.044425581177000226
11,5,2012-01-07,19.0,361.0,-4934.574504840305,0.0,-0.10516169399999999
12,5,2012-01-07,19.0,361.0,-4934.574504840305,0.2277756,-0.20233462903229976
13,5,2012-01-07,22.25580034493704,19.0,-4934.574504840305,0.4912572,0.13015494917699985
14,5,2012-01-07,132.04716870181207,19.0,-4934.574504840305,1.1495831,0.294183232323
15,5,2012-01-07,19.0,19.0,-4934.574504840305,0.44561908,0.700591522323
16,5,2012-01-07,361.0,19.0,-4934.574504840305,3.2170694,1.016678514177
17,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,1.2470230575
18,5,2012-01-07,19.0,19.0,-4934.574504840305,0.12760162,1.2736754025
19,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,1.106950877823
20,5,2012-01-07,50.095674700390454,19.0,-4934.574504840305,0.6992469,1.215236627823
21,5,2012-01-07,361.0,19.0,-4934.574504840305,2.1609557,1.00018260375
22,5,2012-01-07,19.0,19.0,-4934.574504840305,0.0,0.80953210252761
23,5,2012-01-07,19.0,19.0,-4934.574504840305,0.16588329,0.35526684322239
0,6,2012-01-08,23.86164779488452,19.0,-260.68807464261414,0.56121767,0.31992190177761
1,6,2012-01-08,19.0,19.0,-260.68807464261414,0.4808036,0.33407616824999997
2,6,2012-01-08,19.0,19.0,-260.68807464261414,0.4088784,0.36283543447239
3,6,2012-01-08,361.0,19.0,-260.68807464261414,2.2302446,0.3554193885
4,6,2012-01-08,189.43361731731167,19.0,-260.68807464261414,1.5812831,0.33135106125
5,6,2012-01-08,215.70329640806116,19.0,-260.68807464261414,1.6873667,0.31591085902761
6,6,2012-01-08,333.96272759801303,19.0,-260.68807464261414,2.100045,0.35511567847239006
7,6,2012-01-08,19.0,19.0,-260.68807464261414,0.0,0.36162542625
8,6,2012-01-08,19.0,361.0,-260.68807464261414,0.0,0.010571790000000062
9,6,2012-01-08,19.0,361.0,-260.68807464261414,0.0,-0.27350396446770014
10,6,2012-01-08,40.91353105579636,361.0,-260.68807464261414,0.7483609,-0.044425581177000226
11,6,2012-01-08,55.43742677399846,361.0,-260.68807464261414,0.86761415,-0.10516169399999999
12,6,2012-01-08,19.0,361.0,-260.68807464261414,0.43170092,-0.20233462903229976
13,6,2012-01-08,361.0,209.4359830690296,-260.68807464261414,2.5191555,0.13015494917699985
14,6,2012-01-08,176.12909086276576,19.0,-260.68807464261414,1.5371536,0.294183232323
15,6,2012-01-08,31.39251229687364,19.0,-260.68807464261414,0.6673604,0.700591522323
16,6,2012-01-08,19.0,19.0,-260.68807464261414,0.39169285,1.016678514177
17,6,2012-01-08,19.0,19.0,-260.68807464261414,0.0,1.2470230575
18,6,2012-01-08,32.60277519730243,19.0,-260.68807464261414,0.66358495,1.2736754025
19,6,2012-01-08,19.0,19.0,-260.68807464261414,0.0,1.106950877823
20,6,2012-01-08,19.0,19.0,-260.68807464261414,0.35304517,1.215236627823
21,6,2012-01-08,240.86391339746268,19.0,-260.68807464261414,1.7833445,1.00018260375
22,6,2012-01-08,85.13544436655985,19.0,-260.68807464261414,1.0600743,0.80953210252761
23,6,2012-01-08,19.0,19.0,-260.68807464261414,0.0,0.35526684322239
0,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.023279637,0.31992190177761
1,7,2012-01-09,102.79367376854444,19.0,-1087.3424955303542,0.93614787,0.33407616824999997
2,7,2012-01-09,120.85592786435673,19.0,-1087.3424955303542,1.0150682,0.36283543447239
3,7,2012-01-09,20.110542676064828,19.0,-1087.3424955303542,0.4140694,0.3554193885
4,7,2012-01-09,201.2968566800768,19.0,-1087.3424955303542,1.3100255,0.33135106125
5,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,0.31591085902761
6,7,2012-01-09,361.0,19.0,-1087.3424955303542,2.4842668,0.35511567847239006
7,7,2012-01-09,256.2453690194948,19.0,-1087.3424955303542,1.479741,0.36162542625
8,7,2012-01-09,19.0,361.0,-1087.3424955303542,0.0,0.010571790000000062
9,7,2012-01-09,55.851103527345394,361.0,-1087.3424955303542,0.6986855,-0.27350396446770014
10,7,2012-01-09,111.83992428057343,361.0,-1087.3424955303542,0.9866595,-0.044425581177000226
11,7,2012-01-09,42.13429271330009,361.0,-1087.3424955303542,0.6166183,-0.10516169399999999
12,7,2012-01-09,58.074202247052646,361.0,-1087.3424955303542,0.7163202,-0.20233462903229976
13,7,2012-01-09,231.19273576605636,27.550936440481554,-1087.3424955303542,1.4128149,0.13015494917699985
14,7,2012-01-09,294.3772659994397,19.0,-1087.3424955303542,1.5961605,0.294183232323
15,7,2012-01-09,51.077897883900974,19.0,-1087.3424955303542,0.68298405,0.700591522323
16,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.016678514177
17,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.2470230575
18,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.2736754025
19,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.106950877823
20,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.215236627823
21,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,1.00018260375
22,7,2012-01-09,19.0,19.0,-1087.3424955303542,0.0,0.80953210252761
23,7,2012-01-09,77.70114401427556,19.0,-1087.3424955303542,0.8139073,0.35526684322239
0,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,0.31992190177761
1,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,0.33407616824999997
2,8,2012-01-10,151.4837816446248,19.0,-8387.185734236044,0.67298746,0.36283543447239
3,8,2012-01-10,182.7539569855501,19.0,-8387.185734236044,0.73919207,0.3554193885
4,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,0.33135106125
5,8,2012-01-10,50.35493492172031,19.0,-8387.185734236044,0.38801178,0.31591085902761
6,8,2012-01-10,52.05233317590823,19.0,-8387.185734236044,0.39702404,0.35511567847239006
7,8,2012-01-10,361.0,19.0,-8387.185734236044,1.2515262,0.36162542625
8,8,2012-01-10,361.0,67.88110830389797,-8387.185734236044,1.6833533,0.010571790000000062
9,8,2012-01-10,19.0,361.0,-8387.185734236044,0.0,-0.27350396446770014
10,8,2012-01-10,19.0,361.0,-8387.185734236044,0.0,-0.044425581177000226
11,8,2012-01-10,19.0,361.0,-8387.185734236044,0.09777883,-0.10516169399999999
12,8,2012-01-10,19.0,361.0,-8387.185734236044,0.0,-0.20233462903229976
13,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,0.13015494917699985
14,8,2012-01-10,39.01656734657916,19.0,-8387.185734236044,0.39325976,0.294183232323
15,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,0.700591522323
16,8,2012-01-10,225.2428558431852,19.0,-8387.185734236044,0.8339304,1.016678514177
17,8,2012-01-10,19.0,19.0,-8387.185734236044,0.2149585,1.2470230575
18,8,2012-01-10,52.66791240413587,19.0,-8387.185734236044,0.40922925,1.2736754025
19,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,1.106950877823
20,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,1.215236627823
21,8,2012-01-10,19.0,19.0,-8387.185734236044,0.0,1.00018260375
