hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,204.44073505953247,19.0,7.051849594853529,3544.78,0.28594020397239
1,1,2012-01-03,270.7077336113981,19.0,7.051849594853529,4079.0205,0.29199369652761
2,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.29108670802761
3,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.2904806685
4,1,2012-01-03,65.12515986649701,19.0,7.051849594853529,2000.6908,0.29063252347239
5,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.28018766047239
6,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.27852346777761
7,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.27897765225000004
8,1,2012-01-03,361.0,361.0,7.051849594853529,6008.209,-0.08726803139999997
9,1,2012-01-03,19.0,361.0,7.051849594853529,0.0,-0.40127545702761
10,1,2012-01-03,234.4599806905786,361.0,7.051849594853529,3796.1199,-0.6061231583276101
11,1,2012-01-03,361.0,361.0,7.051849594853529,6008.2056,-0.74039031217239
12,1,2012-01-03,19.0,361.0,7.051849594853529,0.0,-0.81862973557761
13,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.4417437103760999
14,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.24218139137610015
15,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.3450135939260999
16,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.6712619130261
17,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.9475821022239
18,1,2012-01-03,361.0,19.0,7.051849594853529,4899.8247,0.28654555327761
19,1,2012-01-03,19.0,33.733609228006124,7.051849594853529,0.0,0.20117267227761002
20,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.20208104122239
21,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.20132314672239
22,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.27655349422239
23,1,2012-01-03,19.0,19.0,7.051849594853529,0.0,0.28745392222239
0,2,2012-01-04,209.27306081477423,19.0,7.124408503645027,3593.5264,0.28594020397239
1,2,2012-01-04,275.9564266337303,19.0,7.124408503645027,4126.5244,0.29199369652761
2,2,2012-01-04,19.0,19.0,7.124408503645027,0.0,0.29108670802761
3,2,2012-01-04,19.0,19.0,7.124408503645027,0.0,0.2904806685
4,2,2012-01-04,67.95990941654449,19.0,7.124408503645027,2047.8142,0.29063252347239
5,2,2012-01-04,19.0,19.0,7.124408503645027,0.0,0.28018766047239
6,2,2012-01-04,19.0,19.0,7.124408503645027,0.0,0.27852346777761
7,2,2012-01-04,19.0,19.0,7.124408503645027,0.0,0.27897765225000004
