hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,36.114598702152044,-42.72269122318118,0.0081136795,0.31992190177761
1,1,2012-01-03,19.0,19.0,-42.72269122318118,0.0,0.33407616824999997
2,1,2012-01-03,19.0,19.0,-42.72269122318118,0.0,0.36283543447239
3,1,2012-01-03,19.0,19.0,-42.72269122318118,0.0,0.3554193885
4,1,2012-01-03,19.0,19.0,-42.72269122318118,0.8185046,0.33135106125
5,1,2012-01-03,19.0,361.0,-42.72269122318118,3.3101084,0.31591085902761
6,1,2012-01-03,35.83079846983706,19.0,-42.72269122318118,0.0,0.35511567847239006
7,1,2012-01-03,19.0,19.0,-42.72269122318118,2.7099795,0.36162542625
8,1,2012-01-03,143.32319387934825,361.0,-42.72269122318118,0.35751805,0.010571790000000062
9,1,2012-01-03,19.0,361.0,-42.72269122318118,1.1859237,-0.27350396446770014
10,1,2012-01-03,358.30798469837066,361.0,-42.72269122318118,0.25655988,-0.044425581177000226
11,1,2012-01-03,361.0,361.0,-42.72269122318118,0.33113724,-0.10516169399999999
12,1,2012-01-03,151.97405237328405,361.0,-42.72269122318118,0.9517127,-0.20233462903229976
13,1,2012-01-03,361.0,361.0,-42.72269122318118,0.4014901,0.13015494917699985
14,1,2012-01-03,361.0,361.0,-42.72269122318118,0.4882031,0.294183232323
15,1,2012-01-03,311.3011929988369,19.0,-42.72269122318118,1.362382,0.700591522323
16,1,2012-01-03,361.0,19.0,-42.72269122318118,0.0,1.016678514177
17,1,2012-01-03,250.81558928885946,19.0,-42.72269122318118,0.0,1.2470230575
18,1,2012-01-03,179.15399234918533,19.0,-42.72269122318118,0.0,1.2736754025
19,1,2012-01-03,89.57699617459267,19.0,-42.72269122318118,0.0,1.106950877823
20,1,2012-01-03,35.83079846983706,19.0,-42.72269122318118,0.0,1.215236627823
21,1,2012-01-03,19.0,19.0,-42.72269122318118,0.0,1.00018260375
22,1,2012-01-03,19.0,19.0,-42.72269122318118,0.5128385,0.80953210252761
23,1,2012-01-03,19.0,19.0,-42.72269122318118,0.3353417,0.35526684322239
0,2,2012-01-04,19.0,19.0,-52.57407659479749,0.0,0.31992190177761
1,2,2012-01-04,19.0,19.0,-52.57407659479749,1.0332336,0.33407616824999997
2,2,2012-01-04,19.0,19.0,-52.57407659479749,2.3509421,0.36283543447239
3,2,2012-01-04,19.0,19.0,-52.57407659479749,0.9583269,0.3554193885
4,2,2012-01-04,19.0,19.0,-52.57407659479749,0.0,0.33135106125
5,2,2012-01-04,19.0,159.91274276025234,-52.57407659479749,0.1349746,0.31591085902761
6,2,2012-01-04,32.98452508243,19.0,-52.57407659479749,0.1675703,0.35511567847239006
7,2,2012-01-04,82.46131270607499,19.0,-52.57407659479749,0.0,0.36162542625
8,2,2012-01-04,131.93810032972,361.0,-52.57407659479749,0.0,0.010571790000000062
9,2,2012-01-04,28.92683862510793,361.0,-52.57407659479749,1.0246036,-0.27350396446770014
10,2,2012-01-04,329.84525082429997,361.0,-52.57407659479749,0.0,-0.044425581177000226
11,2,2012-01-04,101.95588373455975,361.0,-52.57407659479749,1.4817957,-0.10516169399999999
12,2,2012-01-04,296.86072574186994,361.0,-52.57407659479749,0.23041442,-0.20233462903229976
13,2,2012-01-04,284.14127964460033,361.0,-52.57407659479749,0.7771237,0.13015494917699985
14,2,2012-01-04,361.0,361.0,-52.57407659479749,0.004904821,0.294183232323
15,2,2012-01-04,361.0,19.0,-52.57407659479749,0.74910194,0.700591522323
16,2,2012-01-04,361.0,19.0,-52.57407659479749,0.0,1.016678514177
17,2,2012-01-04,230.89167557700995,19.0,-52.57407659479749,0.07019082,1.2470230575
18,2,2012-01-04,164.92262541214998,19.0,-52.57407659479749,0.0,1.2736754025
19,2,2012-01-04,19.0,19.0,-52.57407659479749,0.8364008,1.106950877823
20,2,2012-01-04,32.98452508243,19.0,-52.57407659479749,0.0,1.215236627823
21,2,2012-01-04,19.0,19.0,-52.57407659479749,0.0,1.00018260375
22,2,2012-01-04,19.0,19.0,-52.57407659479749,0.0,0.80953210252761
23,2,2012-01-04,19.0,19.0,-52.57407659479749,0.0,0.35526684322239
0,3,2012-01-05,19.0,57.06459520511369,-44.860198226635866,0.0,0.31992190177761
1,3,2012-01-05,19.0,19.0,-44.860198226635866,0.51102966,0.33407616824999997
2,3,2012-01-05,19.0,19.0,-44.860198226635866,0.0,0.36283543447239
3,3,2012-01-05,19.0,19.0,-44.860198226635866,0.0,0.3554193885
4,3,2012-01-05,19.0,19.0,-44.860198226635866,0.0,0.33135106125
5,3,2012-01-05,19.0,361.0,-44.860198226635866,4.3825655,0.31591085902761
6,3,2012-01-05,39.54620469759046,19.0,-44.860198226635866,0.0,0.35511567847239006
7,3,2012-01-05,98.86551174397616,19.0,-44.860198226635866,0.0,0.36162542625
8,3,2012-01-05,19.0,361.0,-44.860198226635866,1.0396804,0.010571790000000062
9,3,2012-01-05,113.35186774577843,361.0,-44.860198226635866,0.62673706,-0.27350396446770014
10,3,2012-01-05,231.77021582643835,361.0,-44.860198226635866,0.827851,-0.044425581177000226
11,3,2012-01-05,204.21074540085004,361.0,-44.860198226635866,1.0672296,-0.10516169399999999
12,3,2012-01-05,355.91584227831413,361.0,-44.860198226635866,0.0,-0.20233462903229976
13,3,2012-01-05,299.66493235071835,361.0,-44.860198226635866,0.984482,0.13015494917699985
14,3,2012-01-05,361.0,361.0,-44.860198226635866,0.0,0.294183232323
15,3,2012-01-05,361.0,19.0,-44.860198226635866,0.6534852,0.700591522323
16,3,2012-01-05,361.0,19.0,-44.860198226635866,0.04423316,1.016678514177
17,3,2012-01-05,276.82343288313325,19.0,-44.860198226635866,0.30464584,1.2470230575
18,3,2012-01-05,197.7310234879523,19.0,-44.860198226635866,0.0,1.2736754025
19,3,2012-01-05,98.86551174397616,19.0,-44.860198226635866,0.43007153,1.106950877823
20,3,2012-01-05,39.54620469759046,19.0,-44.860198226635866,0.0,1.215236627823
21,3,2012-01-05,19.77310234879523,19.0,-44.860198226635866,0.0,1.00018260375
22,3,2012-01-05,19.0,19.0,-44.860198226635866,0.0,0.80953210252761
23,3,2012-01-05,19.0,19.0,-44.860198226635866,1.983711,0.35526684322239
0,4,2012-01-06,19.0,93.35889642219085,-35.624830923036484,0.5750444,0.31992190177761
1,4,2012-01-06,19.0,19.0,-35.624830923036484,0.7816453,0.33407616824999997
2,4,2012-01-06,19.0,19.0,-35.624830923036484,0.0,0.36283543447239
3,4,2012-01-06,19.0,19.0,-35.624830923036484,0.0,0.3554193885
4,4,2012-01-06,19.0,19.0,-35.624830923036484,0.0,0.33135106125
5,4,2012-01-06,19.0,361.0,-35.624830923036484,1.000325,0.31591085902761
6,4,2012-01-06,19.0,19.0,-35.624830923036484,0.66528535,0.35511567847239006
7,4,2012-01-06,19.0,19.0,-35.624830923036484,0.8426636,0.36162542625
8,4,2012-01-06,19.0,361.0,-35.624830923036484,1.140285,0.010571790000000062
9,4,2012-01-06,259.2415626693568,361.0,-35.624830923036484,0.12232628,-0.27350396446770014
10,4,2012-01-06,251.70411766302928,361.0,-35.624830923036484,0.83489,-0.044425581177000226
11,4,2012-01-06,328.2750965338025,361.0,-35.624830923036484,0.58045155,-0.10516169399999999
12,4,2012-01-06,361.0,361.0,-35.624830923036484,0.0,-0.20233462903229976
13,4,2012-01-06,282.46538488462807,361.0,-35.624830923036484,1.1924995,0.13015494917699985
14,4,2012-01-06,361.0,361.0,-35.624830923036484,0.0,0.294183232323
15,4,2012-01-06,361.0,19.0,-35.624830923036484,0.0,0.700591522323
16,4,2012-01-06,361.0,19.0,-35.624830923036484,0.0,1.016678514177
17,4,2012-01-06,302.44848978091625,19.0,-35.624830923036484,0.0,1.2470230575
18,4,2012-01-06,19.0,19.0,-35.624830923036484,2.1758277,1.2736754025
19,4,2012-01-06,108.01731777889867,19.0,-35.624830923036484,0.0,1.106950877823
20,4,2012-01-06,43.206927111559466,19.0,-35.624830923036484,0.0,1.215236627823
21,4,2012-01-06,19.0,19.0,-35.624830923036484,1.3595508,1.00018260375
22,4,2012-01-06,19.0,19.0,-35.624830923036484,0.0,0.80953210252761
23,4,2012-01-06,19.0,19.0,-35.624830923036484,1.4199352,0.35526684322239
0,5,2012-01-07,19.0,19.0,-47.24043549003872,0.31459633,0.31992190177761
1,5,2012-01-07,19.0,19.0,-47.24043549003872,0.46210447,0.33407616824999997
2,5,2012-01-07,19.0,19.0,-47.24043549003872,0.0,0.36283543447239
3,5,2012-01-07,19.0,19.0,-47.24043549003872,0.0,0.3554193885
4,5,2012-01-07,19.0,19.0,-47.24043549003872,0.24720767,0.33135106125
5,5,2012-01-07,19.0,19.0,-47.24043549003872,0.0,0.31591085902761
6,5,2012-01-07,33.05468191427896,19.0,-47.24043549003872,0.235369,0.35511567847239006
7,5,2012-01-07,19.0,19.0,-47.24043549003872,0.52407545,0.36162542625
8,5,2012-01-07,19.0,361.0,-47.24043549003872,1.486072,0.010571790000000062
9,5,2012-01-07,198.32809148567375,361.0,-47.24043549003872,0.0,-0.27350396446770014
10,5,2012-01-07,330.5468191427896,361.0,-47.24043549003872,0.0,-0.044425581177000226
11,5,2012-01-07,347.0741600999291,361.0,-47.24043549003872,0.0,-0.10516169399999999
12,5,2012-01-07,297.49213722851067,361.0,-47.24043549003872,0.026640013,-0.20233462903229976
13,5,2012-01-07,125.52898277131348,361.0,-47.24043549003872,1.7404768,0.13015494917699985
14,5,2012-01-07,361.0,352.712029559445,-47.24043549003872,0.0,0.294183232323
15,5,2012-01-07,361.0,19.0,-47.24043549003872,0.0869856,0.700591522323
16,5,2012-01-07,361.0,19.0,-47.24043549003872,0.0,1.016678514177
17,5,2012-01-07,146.63247500267033,19.0,-47.24043549003872,0.5127885,1.2470230575
18,5,2012-01-07,19.0,19.0,-47.24043549003872,1.6477193,1.2736754025
19,5,2012-01-07,19.0,19.0,-47.24043549003872,0.78120345,1.106950877823
20,5,2012-01-07,33.05468191427896,19.0,-47.24043549003872,0.0,1.215236627823
21,5,2012-01-07,19.0,19.0,-47.24043549003872,0.0,1.00018260375
22,5,2012-01-07,19.0,19.0,-47.24043549003872,0.9311853,0.80953210252761
23,5,2012-01-07,19.0,19.0,-47.24043549003872,1.1560174,0.35526684322239
0,6,2012-01-08,19.0,253.77293518984587,-32.89629352231206,0.0,0.31992190177761
1,6,2012-01-08,19.0,19.0,-32.89629352231206,1.8850702,0.33407616824999997
2,6,2012-01-08,19.0,19.0,-32.89629352231206,0.0,0.36283543447239
3,6,2012-01-08,19.0,19.0,-32.89629352231206,1.0598092,0.3554193885
4,6,2012-01-08,19.0,19.0,-32.89629352231206,0.0,0.33135106125
5,6,2012-01-08,19.0,361.0,-32.89629352231206,0.89333314,0.31591085902761
6,6,2012-01-08,19.0,19.0,-32.89629352231206,0.8899873,0.35511567847239006
7,6,2012-01-08,19.0,19.0,-32.89629352231206,0.8125455,0.36162542625
8,6,2012-01-08,148.12066433166757,361.0,-32.89629352231206,0.0,0.010571790000000062
9,6,2012-01-08,222.18099649750133,361.0,-32.89629352231206,0.24362276,-0.27350396446770014
10,6,2012-01-08,361.0,361.0,-32.89629352231206,0.03796002,-0.044425581177000226
11,6,2012-01-08,224.92350927088776,361.0,-32.89629352231206,0.8851877,-0.10516169399999999
12,6,2012-01-08,333.271494746252,361.0,-32.89629352231206,0.09802112,-0.20233462903229976
13,6,2012-01-08,344.88411126561823,361.0,-32.89629352231206,0.6372802,0.13015494917699985
14,6,2012-01-08,361.0,361.0,-32.89629352231206,0.0,0.294183232323
15,6,2012-01-08,361.0,19.0,-32.89629352231206,0.0,0.700591522323
16,6,2012-01-08,361.0,19.0,-32.89629352231206,0.0,1.016678514177
17,6,2012-01-08,259.2111625804182,19.0,-32.89629352231206,0.0,1.2470230575
18,6,2012-01-08,185.15083041458445,19.0,-32.89629352231206,0.0,1.2736754025
19,6,2012-01-08,19.0,19.0,-32.89629352231206,1.3810284,1.106950877823
20,6,2012-01-08,37.03016608291689,19.0,-32.89629352231206,0.0,1.215236627823
21,6,2012-01-08,19.0,19.0,-32.89629352231206,0.95768374,1.00018260375
22,6,2012-01-08,19.0,19.0,-32.89629352231206,1.3597301,0.80953210252761
23,6,2012-01-08,19.0,19.0,-32.89629352231206,0.0,0.35526684322239
0,7,2012-01-09,19.0,19.0,-45.61524794768185,0.0,0.31992190177761
1,7,2012-01-09,19.0,19.0,-45.61524794768185,0.80650216,0.33407616824999997
2,7,2012-01-09,19.0,19.0,-45.61524794768185,0.7106691,0.36283543447239
3,7,2012-01-09,19.0,19.0,-45.61524794768185,0.0,0.3554193885
4,7,2012-01-09,19.0,19.0,-45.61524794768185,0.0,0.33135106125
5,7,2012-01-09,19.0,164.81227821710002,-45.61524794768185,2.1496148,0.31591085902761
6,7,2012-01-09,30.00886841745554,19.0,-45.61524794768185,0.0,0.35511567847239006
7,7,2012-01-09,75.02217104363883,19.0,-45.61524794768185,0.2418176,0.36162542625
8,7,2012-01-09,120.03547366982215,361.0,-45.61524794768185,0.061560474,0.010571790000000062
9,7,2012-01-09,180.05321050473322,361.0,-45.61524794768185,0.0,-0.27350396446770014
10,7,2012-01-09,300.08868417455534,361.0,-45.61524794768185,0.10102076,-0.044425581177000226
11,7,2012-01-09,315.0931183832831,361.0,-45.61524794768185,0.0,-0.10516169399999999
12,7,2012-01-09,270.0798157570998,361.0,-45.61524794768185,0.0,-0.20233462903229976
13,7,2012-01-09,130.8890992952157,361.0,-45.61524794768185,1.6276639,0.13015494917699985
14,7,2012-01-09,361.0,361.0,-45.61524794768185,0.78197986,0.294183232323
15,7,2012-01-09,303.3289949523632,19.0,-45.61524794768185,1.0784043,0.700591522323
16,7,2012-01-09,330.0975525920109,19.0,-45.61524794768185,0.0,1.016678514177
17,7,2012-01-09,210.06207892218876,19.0,-45.61524794768185,0.0,1.2470230575
18,7,2012-01-09,150.04434208727767,19.0,-45.61524794768185,0.0,1.2736754025
19,7,2012-01-09,19.0,19.0,-45.61524794768185,0.6497761,1.106950877823
20,7,2012-01-09,30.00886841745554,19.0,-45.61524794768185,0.0,1.215236627823
21,7,2012-01-09,19.0,19.0,-45.61524794768185,0.0,1.00018260375
22,7,2012-01-09,19.0,19.0,-45.61524794768185,0.17798078,0.80953210252761
23,7,2012-01-09,19.0,19.0,-45.61524794768185,0.0,0.35526684322239
0,8,2012-01-10,19.0,19.0,-40.5635682553457,0.83250225,0.31992190177761
1,8,2012-01-10,19.0,19.0,-40.5635682553457,0.12220943,0.33407616824999997
2,8,2012-01-10,19.0,19.0,-40.5635682553457,0.0,0.36283543447239
3,8,2012-01-10,19.0,19.0,-40.5635682553457,1.3227199,0.3554193885
4,8,2012-01-10,19.0,19.0,-40.5635682553457,0.0,0.33135106125
5,8,2012-01-10,19.0,241.44019182557417,-40.5635682553457,0.0,0.31591085902761
6,8,2012-01-10,34.381447595534446,19.0,-40.5635682553457,0.0,0.35511567847239006
7,8,2012-01-10,85.95361898883613,19.0,-40.5635682553457,0.0,0.36162542625
8,8,2012-01-10,38.577975394577784,361.0,-40.5635682553457,0.5755884,0.010571790000000062
9,8,2012-01-10,95.8340095256116,361.0,-40.5635682553457,0.64252484,-0.27350396446770014
10,8,2012-01-10,343.8144759553445,361.0,-40.5635682553457,0.0,-0.044425581177000226
11,8,2012-01-10,361.0,361.0,-40.5635682553457,0.29204613,-0.10516169399999999
12,8,2012-01-10,309.43302835981007,361.0,-40.5635682553457,0.0214701,-0.20233462903229976
13,8,2012-01-10,253.2289148577725,361.0,-40.5635682553457,1.0269444,0.13015494917699985
14,8,2012-01-10,361.0,361.0,-40.5635682553457,1.1572158,0.294183232323
15,8,2012-01-10,361.0,19.0,-40.5635682553457,0.0,0.700591522323
16,8,2012-01-10,124.30428341730291,19.0,-40.5635682553457,1.4769107,1.016678514177
17,8,2012-01-10,240.67013316874113,19.0,-40.5635682553457,0.0,1.2470230575
18,8,2012-01-10,171.90723797767225,19.0,-40.5635682553457,0.0,1.2736754025
19,8,2012-01-10,85.95361898883613,19.0,-40.5635682553457,0.0,1.106950877823
20,8,2012-01-10,34.381447595534446,19.0,-40.5635682553457,0.0,1.215236627823
21,8,2012-01-10,19.0,19.0,-40.5635682553457,0.0,1.00018260375
