hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,19.0,121.12535485488047,-30.800415157684093,1.2847583,0.31992190177761
1,1,2012-01-03,19.0,19.0,-30.800415157684093,0.0,0.33407616824999997
2,1,2012-01-03,19.0,19.0,-30.800415157684093,0.8791594,0.36283543447239
3,1,2012-01-03,19.0,19.0,-30.800415157684093,0.0,0.3554193885
4,1,2012-01-03,19.0,19.0,-30.800415157684093,1.142364,0.33135106125
5,1,2012-01-03,19.0,361.0,-30.800415157684093,0.0,0.31591085902761
6,1,2012-01-03,35.871041918469224,19.0,-30.800415157684093,0.0,0.35511567847239006
7,1,2012-01-03,89.67760479617306,19.0,-30.800415157684093,0.0,0.36162542625
8,1,2012-01-03,143.4841676738769,361.0,-30.800415157684093,0.060930207,0.010571790000000062
9,1,2012-01-03,215.22625151081536,361.0,-30.800415157684093,0.19743285,-0.27350396446770014
10,1,2012-01-03,358.7104191846922,361.0,-30.800415157684093,0.16854234,-0.044425581177000226
11,1,2012-01-03,205.21919907534567,361.0,-30.800415157684093,0.95579463,-0.10516169399999999
12,1,2012-01-03,322.83937726622304,361.0,-30.800415157684093,0.0,-0.20233462903229976
13,1,2012-01-03,361.0,361.0,-30.800415157684093,0.31509826,0.13015494917699985
14,1,2012-01-03,361.0,361.0,-30.800415157684093,0.41528827,0.294183232323
15,1,2012-01-03,361.0,19.0,-30.800415157684093,0.937395,0.700591522323
16,1,2012-01-03,361.0,19.0,-30.800415157684093,0.24475488,1.016678514177
17,1,2012-01-03,251.09729342928458,19.0,-30.800415157684093,0.0,1.2470230575
18,1,2012-01-03,19.0,19.0,-30.800415157684093,2.7653096,1.2736754025
19,1,2012-01-03,19.0,19.0,-30.800415157684093,1.6267505,1.106950877823
20,1,2012-01-03,19.0,19.0,-30.800415157684093,0.7617332,1.215236627823
21,1,2012-01-03,19.0,19.0,-30.800415157684093,0.0,1.00018260375
22,1,2012-01-03,19.0,19.0,-30.800415157684093,0.0,0.80953210252761
23,1,2012-01-03,19.0,19.0,-30.800415157684093,0.0,0.35526684322239
0,2,2012-01-04,19.0,361.0,-30.342521086358225,0.0,0.31992190177761
1,2,2012-01-04,19.0,19.0,-30.342521086358225,0.058404744,0.33407616824999997
2,2,2012-01-04,19.0,19.0,-30.342521086358225,0.0,0.36283543447239
3,2,2012-01-04,19.0,19.0,-30.342521086358225,1.4178916,0.3554193885
4,2,2012-01-04,19.0,358.10132200244175,-30.342521086358225,0.0,0.33135106125
5,2,2012-01-04,19.0,361.0,-30.342521086358225,1.9252195,0.31591085902761
6,2,2012-01-04,19.0,19.0,-30.342521086358225,1.4637268,0.35511567847239006
7,2,2012-01-04,19.0,19.0,-30.342521086358225,2.5356333,0.36162542625
8,2,2012-01-04,361.0,361.0,-30.342521086358225,0.25696453,0.010571790000000062
9,2,2012-01-04,19.0,361.0,-30.342521086358225,1.191325,-0.27350396446770014
10,2,2012-01-04,361.0,361.0,-30.342521086358225,0.0,-0.044425581177000226
11,2,2012-01-04,358.10132200244203,361.0,-30.342521086358225,1.769319,-0.10516169399999999
12,2,2012-01-04,361.0,361.0,-30.342521086358225,0.38823584,-0.20233462903229976
13,2,2012-01-04,361.0,361.0,-30.342521086358225,0.0,0.13015494917699985
14,2,2012-01-04,361.0,361.0,-30.342521086358225,1.7025996,0.294183232323
15,2,2012-01-04,361.0,19.0,-30.342521086358225,1.7125556,0.700591522323
16,2,2012-01-04,361.0,19.0,-30.342521086358225,0.0,1.016678514177
17,2,2012-01-04,361.0,19.0,-30.342521086358225,0.0,1.2470230575
18,2,2012-01-04,19.0,19.0,-30.342521086358225,1.1845953,1.2736754025
19,2,2012-01-04,361.0,19.0,-30.342521086358225,0.0,1.106950877823
20,2,2012-01-04,19.0,19.0,-30.342521086358225,1.3021852,1.215236627823
21,2,2012-01-04,19.0,19.0,-30.342521086358225,1.3019394,1.00018260375
22,2,2012-01-04,19.0,19.0,-30.342521086358225,1.0214049,0.80953210252761
23,2,2012-01-04,19.0,19.0,-30.342521086358225,2.7107816,0.35526684322239
0,3,2012-01-05,19.0,19.0,-54.53026485084326,0.0,0.31992190177761
1,3,2012-01-05,19.0,19.0,-54.53026485084326,0.28169215,0.33407616824999997
2,3,2012-01-05,19.0,19.0,-54.53026485084326,0.0,0.36283543447239
