hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,361.0,19.0,-10062.119190290534,1.7188368,0.31992190177761
1,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.33407616824999997
2,1,2012-01-03,19.0,19.0,-10062.119190290534,0.18804252,0.36283543447239
3,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.3554193885
4,1,2012-01-03,19.0,19.0,-10062.119190290534,0.20625204,0.33135106125
5,1,2012-01-03,19.0,19.0,-10062.119190290534,0.4791187,0.31591085902761
6,1,2012-01-03,19.0,19.0,-10062.119190290534,0.21783492,0.35511567847239006
7,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.36162542625
8,1,2012-01-03,198.6825600750999,19.0,-10062.119190290534,1.0036136,0.010571790000000062
9,1,2012-01-03,361.0,361.0,-10062.119190290534,1.7159003,-0.27350396446770014
10,1,2012-01-03,19.0,354.4350881234393,-10062.119190290534,0.0,-0.044425581177000226
11,1,2012-01-03,19.0,361.0,-10062.119190290534,0.08942625,-0.10516169399999999
12,1,2012-01-03,19.0,361.0,-10062.119190290534,0.11928713,-0.20233462903229976
13,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.13015494917699985
14,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.294183232323
15,1,2012-01-03,174.75252804833943,19.0,-10062.119190290534,0.941363,0.700591522323
16,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,1.016678514177
17,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,1.2470230575
18,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,1.2736754025
19,1,2012-01-03,19.0,19.0,-10062.119190290534,0.72200143,1.106950877823
20,1,2012-01-03,19.0,19.0,-10062.119190290534,0.028294444,1.215236627823
21,1,2012-01-03,361.0,19.0,-10062.119190290534,2.0179527,1.00018260375
22,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.80953210252761
23,1,2012-01-03,19.0,19.0,-10062.119190290534,0.0,0.35526684322239
0,2,2012-01-04,19.0,19.0,-814.628379649321,0.22848722,0.31992190177761
1,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.33407616824999997
2,2,2012-01-04,109.52556963020398,19.0,-814.628379649321,0.6298812,0.36283543447239
3,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.3554193885
4,2,2012-01-04,361.0,19.0,-814.628379649321,1.4450846,0.33135106125
5,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.31591085902761
6,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.35511567847239006
7,2,2012-01-04,146.75744364786615,19.0,-814.628379649321,0.72915757,0.36162542625
8,2,2012-01-04,361.0,19.0,-814.628379649321,2.0251942,0.010571790000000062
9,2,2012-01-04,19.0,361.0,-814.628379649321,0.26599914,-0.27350396446770014
10,2,2012-01-04,19.0,232.73924765317975,-814.628379649321,0.27704346,-0.044425581177000226
11,2,2012-01-04,19.0,361.0,-814.628379649321,0.0,-0.10516169399999999
12,2,2012-01-04,19.0,361.0,-814.628379649321,0.0,-0.20233462903229976
13,2,2012-01-04,19.0,19.0,-814.628379649321,0.15300733,0.13015494917699985
14,2,2012-01-04,104.66187206546502,19.0,-814.628379649321,0.61604536,0.294183232323
15,2,2012-01-04,270.79436230964467,19.0,-814.628379649321,0.9905795,0.700591522323
16,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.016678514177
17,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.2470230575
18,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.2736754025
19,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.106950877823
20,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.215236627823
21,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,1.00018260375
22,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.80953210252761
23,2,2012-01-04,19.0,19.0,-814.628379649321,0.0,0.35526684322239
0,3,2012-01-05,361.0,19.0,-2543.683988786461,2.4679017,0.31992190177761
1,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.33407616824999997
2,3,2012-01-05,19.0,19.0,-2543.683988786461,0.9872859,0.36283543447239
3,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.3554193885
4,3,2012-01-05,247.60567122838273,19.0,-2543.683988786461,1.5915456,0.33135106125
5,3,2012-01-05,19.0,19.0,-2543.683988786461,0.5590031,0.31591085902761
6,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.35511567847239006
7,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.36162542625
8,3,2012-01-05,259.5543016935346,257.4319287840491,-2543.683988786461,1.629519,0.010571790000000062
9,3,2012-01-05,19.0,361.0,-2543.683988786461,0.21545331,-0.27350396446770014
10,3,2012-01-05,19.0,361.0,-2543.683988786461,0.68970954,-0.044425581177000226
11,3,2012-01-05,19.0,361.0,-2543.683988786461,0.0,-0.10516169399999999
12,3,2012-01-05,19.0,361.0,-2543.683988786461,0.19196284,-0.20233462903229976
13,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.13015494917699985
14,3,2012-01-05,361.0,19.0,-2543.683988786461,1.9676754,0.294183232323
15,3,2012-01-05,19.0,19.0,-2543.683988786461,0.39385426,0.700591522323
16,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,1.016678514177
17,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,1.2470230575
18,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,1.2736754025
19,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,1.106950877823
20,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,1.215236627823
21,3,2012-01-05,361.0,19.0,-2543.683988786461,2.73081,1.00018260375
22,3,2012-01-05,19.0,19.0,-2543.683988786461,0.0,0.80953210252761
23,3,2012-01-05,130.27195586213136,19.0,-2543.683988786461,1.1544211,0.35526684322239
0,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.31992190177761
1,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.33407616824999997
2,4,2012-01-06,361.0,19.0,-1162.2622818794096,1.7998683,0.36283543447239
3,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.3554193885
4,4,2012-01-06,266.0232777933194,19.0,-1162.2622818794096,1.153023,0.33135106125
5,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.31591085902761
6,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.35511567847239006
7,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.36162542625
8,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.010571790000000062
9,4,2012-01-06,157.93097536045605,361.0,-1162.2622818794096,0.8884742,-0.27350396446770014
10,4,2012-01-06,19.0,261.97705070986217,-1162.2622818794096,0.7110021,-0.044425581177000226
11,4,2012-01-06,19.0,361.0,-1162.2622818794096,0.0,-0.10516169399999999
12,4,2012-01-06,19.0,361.0,-1162.2622818794096,0.0,-0.20233462903229976
13,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,0.13015494917699985
14,4,2012-01-06,218.02279755608672,19.0,-1162.2622818794096,1.0440104,0.294183232323
15,4,2012-01-06,361.0,19.0,-1162.2622818794096,2.2909064,0.700591522323
16,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,1.016678514177
17,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,1.2470230575
18,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.23830618,1.2736754025
19,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,1.106950877823
20,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,1.215236627823
21,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.0,1.00018260375
22,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.3208052,0.80953210252761
23,4,2012-01-06,19.0,19.0,-1162.2622818794096,0.60347086,0.35526684322239
0,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.8841815,0.31992190177761
1,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.33407616824999997
2,5,2012-01-07,361.0,19.0,-2633.5262121687642,2.54714,0.36283543447239
3,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.3554193885
4,5,2012-01-07,214.26971481454123,19.0,-2633.5262121687642,1.2801104,0.33135106125
5,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.7007438,0.31591085902761
6,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.35511567847239006
7,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.36162542625
8,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.010571790000000062
9,5,2012-01-07,19.0,361.0,-2633.5262121687642,0.807463,-0.27350396446770014
10,5,2012-01-07,207.51076858362234,304.35580203125613,-2633.5262121687642,1.259838,-0.044425581177000226
11,5,2012-01-07,19.0,361.0,-2633.5262121687642,0.0,-0.10516169399999999
12,5,2012-01-07,19.0,361.0,-2633.5262121687642,0.0,-0.20233462903229976
13,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.13015494917699985
14,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.17864177,0.294183232323
15,5,2012-01-07,361.0,19.0,-2633.5262121687642,2.4557612,0.700591522323
16,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,1.016678514177
17,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,1.2470230575
18,5,2012-01-07,150.66401899071892,19.0,-2633.5262121687642,1.0734718,1.2736754025
19,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.47774696,1.106950877823
20,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,1.215236627823
21,5,2012-01-07,130.91129964237368,19.0,-2633.5262121687642,1.0005937,1.00018260375
22,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.80953210252761
23,5,2012-01-07,19.0,19.0,-2633.5262121687642,0.0,0.35526684322239
0,6,2012-01-08,19.0,19.0,-595.9275604504219,0.7908563,0.31992190177761
1,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.33407616824999997
2,6,2012-01-08,187.78868431757036,19.0,-595.9275604504219,1.4728845,0.36283543447239
3,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.3554193885
4,6,2012-01-08,271.4360119265623,19.0,-595.9275604504219,1.7707927,0.33135106125
5,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.31591085902761
6,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.35511567847239006
7,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.36162542625
8,6,2012-01-08,19.0,19.0,-595.9275604504219,0.19412953,0.010571790000000062
9,6,2012-01-08,187.6624434449049,361.0,-595.9275604504219,1.4724301,-0.27350396446770014
10,6,2012-01-08,122.63218071731146,189.18593299640196,-595.9275604504219,1.1903286,-0.044425581177000226
11,6,2012-01-08,19.0,361.0,-595.9275604504219,0.25104374,-0.10516169399999999
12,6,2012-01-08,19.0,361.0,-595.9275604504219,0.0,-0.20233462903229976
13,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,0.13015494917699985
14,6,2012-01-08,179.66661259005312,19.0,-595.9275604504219,1.4408123,0.294183232323
15,6,2012-01-08,361.0,19.0,-595.9275604504219,4.008581,0.700591522323
16,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,1.016678514177
17,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,1.2470230575
18,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,1.2736754025
19,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,1.106950877823
20,6,2012-01-08,19.0,19.0,-595.9275604504219,0.0,1.215236627823
21,6,2012-01-08,19.0,19.0,-595.9275604504219,0.819016,1.00018260375
22,6,2012-01-08,19.0,19.0,-595.9275604504219,1.0921609,0.80953210252761
23,6,2012-01-08,19.0,19.0,-595.9275604504219,0.28548864,0.35526684322239
0,7,2012-01-09,361.0,19.0,-1816.2061289506382,1.4091458,0.31992190177761
1,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.3046136,0.33407616824999997
2,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.23928618,0.36283543447239
3,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.0,0.3554193885
4,7,2012-01-09,361.0,19.0,-1816.2061289506382,1.6449226,0.33135106125
5,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.0,0.31591085902761
6,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.0,0.35511567847239006
7,7,2012-01-09,19.0,19.0,-1816.2061289506382,0.0,0.36162542625
