hour,iteration,timestamp,demands,ideal_demands,reward,actions,price_signal
0,1,2012-01-03,137.3655775996633,19.0,12.123762625549052,0.7617889,0.28594020397239
1,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.29199369652761
2,1,2012-01-03,19.0,19.0,12.123762625549052,0.63395464,0.29108670802761
3,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.2904806685
4,1,2012-01-03,361.0,19.0,12.123762625549052,1.3761066,0.29063252347239
5,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.28018766047239
6,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.27852346777761
7,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.27897765225000004
8,1,2012-01-03,19.0,270.87092285623294,12.123762625549052,0.0,-0.08726803139999997
9,1,2012-01-03,19.0,361.0,12.123762625549052,0.0,-0.40127545702761
10,1,2012-01-03,19.0,361.0,12.123762625549052,0.033825032,-0.6061231583276101
11,1,2012-01-03,19.0,361.0,12.123762625549052,0.0,-0.74039031217239
12,1,2012-01-03,152.50534525656957,361.0,12.123762625549052,0.8027843,-0.81862973557761
13,1,2012-01-03,361.0,19.0,12.123762625549052,1.2866343,0.4417437103760999
14,1,2012-01-03,361.0,19.0,12.123762625549052,1.7142285,0.24218139137610015
15,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.3450135939260999
16,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.6712619130261
17,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.9475821022239
18,1,2012-01-03,19.0,19.0,12.123762625549052,0.5724455,0.28654555327761
19,1,2012-01-03,19.0,19.0,12.123762625549052,0.42723694,0.20117267227761002
20,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.20208104122239
21,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.20132314672239
22,1,2012-01-03,19.0,19.0,12.123762625549052,0.0,0.27655349422239
23,1,2012-01-03,361.0,19.0,12.123762625549052,1.474983,0.28745392222239
0,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.28594020397239
1,2,2012-01-04,19.0,19.0,11.123675726597536,0.03881663,0.29199369652761
2,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.29108670802761
3,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.2904806685
4,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.29063252347239
5,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.28018766047239
6,2,2012-01-04,361.0,19.0,11.123675726597536,1.407185,0.27852346777761
7,2,2012-01-04,361.0,19.0,11.123675726597536,1.2156935,0.27897765225000004
8,2,2012-01-04,19.0,146.9137780077018,11.123675726597536,0.0,-0.08726803139999997
9,2,2012-01-04,19.0,361.0,11.123675726597536,0.07623363,-0.40127545702761
10,2,2012-01-04,19.0,361.0,11.123675726597536,0.033491753,-0.6061231583276101
11,2,2012-01-04,153.53374343205329,361.0,11.123675726597536,0.6122453,-0.74039031217239
12,2,2012-01-04,19.0,361.0,11.123675726597536,0.4864311,-0.81862973557761
13,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.4417437103760999
14,2,2012-01-04,144.63084403350598,19.0,11.123675726597536,0.5943825,0.24218139137610015
15,2,2012-01-04,19.0,19.0,11.123675726597536,0.18668309,0.3450135939260999
16,2,2012-01-04,19.0,19.0,11.123675726597536,0.12276119,0.6712619130261
17,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.9475821022239
18,2,2012-01-04,19.0,19.0,11.123675726597536,0.050109833,0.28654555327761
19,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.20117267227761002
20,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.20208104122239
21,2,2012-01-04,361.0,19.0,11.123675726597536,0.9837389,0.20132314672239
22,2,2012-01-04,228.74919054214251,19.0,11.123675726597536,0.74710506,0.27655349422239
23,2,2012-01-04,19.0,19.0,11.123675726597536,0.0,0.28745392222239
0,3,2012-01-05,19.0,19.0,12.82897669261389,0.28448218,0.28594020397239
1,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.29199369652761
2,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.29108670802761
3,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.2904806685
4,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.29063252347239
5,3,2012-01-05,264.71667644584227,19.0,12.82897669261389,0.6608315,0.28018766047239
6,3,2012-01-05,19.0,19.0,12.82897669261389,0.04577011,0.27852346777761
7,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.27897765225000004
8,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,-0.08726803139999997
9,3,2012-01-05,19.0,19.0,12.82897669261389,0.2715097,-0.40127545702761
10,3,2012-01-05,19.0,355.02243000406224,12.82897669261389,0.0,-0.6061231583276101
11,3,2012-01-05,19.0,361.0,12.82897669261389,0.2073395,-0.74039031217239
12,3,2012-01-05,19.0,361.0,12.82897669261389,0.24642399,-0.81862973557761
13,3,2012-01-05,330.12153731200704,19.0,12.82897669261389,0.73813653,0.4417437103760999
14,3,2012-01-05,361.0,19.0,12.82897669261389,1.6277231,0.24218139137610015
15,3,2012-01-05,140.184216246213,19.0,12.82897669261389,0.48121655,0.3450135939260999
16,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.6712619130261
17,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.9475821022239
18,3,2012-01-05,19.0,19.0,12.82897669261389,0.31357166,0.28654555327761
19,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.20117267227761002
20,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.20208104122239
21,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.20132314672239
22,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.27655349422239
23,3,2012-01-05,19.0,19.0,12.82897669261389,0.0,0.28745392222239
0,4,2012-01-06,299.15797366560747,19.0,14.853037921475423,1.2926694,0.28594020397239
1,4,2012-01-06,131.0331368988241,19.0,14.853037921475423,0.8555152,0.29199369652761
2,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.29108670802761
3,4,2012-01-06,196.9840120611947,19.0,14.853037921475423,1.0489448,0.2904806685
4,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.29063252347239
5,4,2012-01-06,144.374933809408,19.0,14.853037921475423,0.8980139,0.28018766047239
6,4,2012-01-06,19.0,19.0,14.853037921475423,0.28280506,0.27852346777761
7,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.27897765225000004
8,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,-0.08726803139999997
9,4,2012-01-06,19.0,287.5087307836,14.853037921475423,0.3198684,-0.40127545702761
10,4,2012-01-06,19.0,361.0,14.853037921475423,0.20407285,-0.6061231583276101
11,4,2012-01-06,19.0,361.0,14.853037921475423,0.0,-0.74039031217239
12,4,2012-01-06,19.0,361.0,14.853037921475423,0.0,-0.81862973557761
13,4,2012-01-06,19.0,19.0,14.853037921475423,0.13791834,0.4417437103760999
14,4,2012-01-06,19.0,19.0,14.853037921475423,0.44217163,0.24218139137610015
15,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.3450135939260999
16,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.6712619130261
17,4,2012-01-06,361.0,19.0,14.853037921475423,2.6873322,0.9475821022239
18,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.28654555327761
19,4,2012-01-06,19.0,19.0,14.853037921475423,0.21757825,0.20117267227761002
20,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.20208104122239
21,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.20132314672239
22,4,2012-01-06,275.95867434856586,19.0,14.853037921475423,1.2415357,0.27655349422239
23,4,2012-01-06,19.0,19.0,14.853037921475423,0.0,0.28745392222239
0,5,2012-01-07,123.83994414785246,19.0,11.174460521792097,0.57971424,0.28594020397239
