,Hour,Point,Energy,Timestamp,Date,Day of Week,Out_of_Office,Presurvey,Weekly_Survey,Before_Game_Baseline,In_Game_Baseline
1000,8,0.0,49.80099087694508,2018-12-29 08:00:00,2018-12-29,Saturday,0,4.3,3.57,6.560512782179488,65.69590127992137
1001,9,0.0,106.8122359344338,2018-12-29 09:00:00,2018-12-29,Saturday,0,4.3,3.57,6.4612820769230765,133.29594642560352
1002,10,10.0,83.76277884948901,2018-12-29 10:00:00,2018-12-29,Saturday,0,4.3,3.57,6.5220512948717975,99.71139221653446
1003,11,0.8369579315185547,205.8086912275789,2018-12-29 11:00:00,2018-12-29,Saturday,0,4.3,3.57,7.012564089743588,162.274582262292
1004,12,9.986928939819336,46.37538224391572,2018-12-29 12:00:00,2018-12-29,Saturday,0,4.3,3.57,10.323203846153849,129.0645950040955
1005,13,4.76837158203125e-07,282.36688571044544,2018-12-29 13:00:00,2018-12-29,Saturday,0,4.3,3.57,8.487565384615385,247.07486765071044
1006,14,10.0,341.03592387534536,2018-12-29 14:00:00,2018-12-29,Saturday,0,4.3,3.57,10.878719089743589,365.06144106796614
1007,15,0.0,368.83187640506986,2018-12-29 15:00:00,2018-12-29,Saturday,0,4.3,3.57,10.176409115384617,268.9626617270531
1008,16,0.0,254.78401244779042,2018-12-29 16:00:00,2018-12-29,Saturday,0,4.3,3.57,11.0275641025641,283.2049715701733
1009,17,0.0,125.51080618069089,2018-12-29 17:00:00,2018-12-29,Saturday,0,4.3,3.57,11.056923076923082,164.9189752842038
1010,8,9.999969482421877,35.002400549447266,2018-12-30 08:00:00,2018-12-30,Sunday,0,4.3,3.57,6.526794897435898,63.713067656459295
1011,9,0.0,139.36247797573375,2018-12-30 09:00:00,2018-12-30,Sunday,0,4.3,3.57,6.1715384615384625,151.7619052406709
1012,10,10.0,95.1571771369504,2018-12-30 10:00:00,2018-12-30,Sunday,0,4.3,3.57,6.655641012820514,106.98034335878313
1013,11,0.387082576751709,273.8912119394173,2018-12-30 11:00:00,2018-12-30,Sunday,0,4.3,3.57,6.773974371794873,199.8807807221786
1014,12,0.01933193206787109,230.28176765639446,2018-12-30 12:00:00,2018-12-30,Sunday,0,4.3,3.57,7.644743602564103,141.04542627070484
1015,13,10.0,194.4399920442493,2018-12-30 13:00:00,2018-12-30,Sunday,0,4.3,3.57,7.025129461538459,256.12001412023454
1016,14,10.0,402.7387601502749,2018-12-30 14:00:00,2018-12-30,Sunday,0,4.3,3.57,7.214229512820514,386.2741862236589
1017,15,10.0,295.51948440734384,2018-12-30 15:00:00,2018-12-30,Sunday,0,4.3,3.57,7.133589743589742,341.98452468356305
1018,16,0.0,313.2029952061665,2018-12-30 16:00:00,2018-12-30,Sunday,0,4.3,3.57,5.554230756410253,307.4796471444605
1019,17,0.0,172.59947656603603,2018-12-30 17:00:00,2018-12-30,Sunday,0,4.3,3.57,7.786860256410253,177.95220228365827
1020,8,0.015996932983398438,107.13028304308548,2018-12-31 08:00:00,2018-12-31,Monday,0,4.3,0.4,5.949807653846152,52.008960660031995
1021,9,0.0,178.1265818987919,2018-12-31 09:00:00,2018-12-31,Monday,0,4.3,0.4,11.048076935897436,111.82943846722314
1022,10,10.0,150.91460358005313,2018-12-31 10:00:00,2018-12-31,Monday,0,4.3,0.4,20.65320498717949,84.93288490670876
1023,11,9.944571495056152,158.11953732821775,2018-12-31 11:00:00,2018-12-31,Monday,0,4.3,0.4,27.247948717948717,165.96064492261775
1024,12,0.029644012451171875,298.9372733547159,2018-12-31 12:00:00,2018-12-31,Monday,0,4.3,0.4,28.968846038461532,197.2683437481779
1025,13,9.999792098999023,255.1389654479154,2018-12-31 13:00:00,2018-12-31,Monday,0,4.3,0.4,26.78608985897436,186.7671641419813
1026,14,10.0,496.90923958183737,2018-12-31 14:00:00,2018-12-31,Monday,0,4.3,0.4,26.64153858974359,318.1391828501392
1027,15,0.0,518.0500827499934,2018-12-31 15:00:00,2018-12-31,Monday,0,4.3,0.4,27.686538461538454,306.86644397476834
1028,16,0.0,377.7237909002967,2018-12-31 16:00:00,2018-12-31,Monday,0,4.3,0.4,29.074935897435893,249.54607774919842
1029,17,0.0,218.1994870219741,2018-12-31 17:00:00,2018-12-31,Monday,0,4.3,0.4,30.39,136.09312958493726
1030,8,0.0,60.344285795323856,2019-01-01 08:00:00,2019-01-01,Tuesday,0,4.3,0.4,9.958076923076923,54.3081535913282
1031,9,0.0,115.49129051717924,2019-01-01 09:00:00,2019-01-01,Tuesday,0,4.3,0.4,14.314487166666664,129.1807522175649
1032,10,10.0,93.15942875714606,2019-01-01 10:00:00,2019-01-01,Tuesday,0,4.3,0.4,32.51307691025641,100.79763502578251
1033,11,6.101580619812013,170.83647877550794,2019-01-01 11:00:00,2019-01-01,Tuesday,0,4.3,0.4,30.210126666666664,206.6163420650332
1034,12,10.0,72.85081590376784,2019-01-01 12:00:00,2019-01-01,Tuesday,0,4.3,0.4,33.25846307692308,174.42233652148673
1035,13,0.0,285.11021438064745,2019-01-01 13:00:00,2019-01-01,Tuesday,0,4.3,0.4,28.521539615384626,287.61275066593976
1036,14,10.0,335.0847594852561,2019-01-01 14:00:00,2019-01-01,Tuesday,0,4.3,0.4,28.508714230769233,379.5179865603551
1037,15,0.0,360.83274516921983,2019-01-01 15:00:00,2019-01-01,Tuesday,0,4.3,0.4,34.019105,378.5464063709387
1038,16,0.0,254.5025031678553,2019-01-01 16:00:00,2019-01-01,Tuesday,0,4.3,0.4,32.231666794871806,285.4096590243189
1039,17,0.0,142.09494095990718,2019-01-01 17:00:00,2019-01-01,Tuesday,0,4.3,0.4,32.26346153846155,172.92169898434625
