"ray/tune/custom_metrics/real_step_max","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - ray/tune/custom_metrics/energy_cost_mean","Grouped runs - ray/tune/custom_metrics/energy_cost_mean__MIN","Grouped runs - ray/tune/custom_metrics/energy_cost_mean__MAX"
"100","0","0","0","118.5620849609375","113.6980972290039","123.7912826538086"
"200","1","1","1","109.91517486572266","104.44132232666016","113.10111999511719"
"300","2","2","2","112.13548126220704","106.36192321777344","118.90790557861328"
"400","3","3","3","110.08369140625","107.43651580810547","113.24684143066406"
"500","4","4","4","108.95061950683593","104.99502563476562","116.79319763183594"
"600","5","5","5","110.55283203125","104.38302612304688","114.21292877197266"
"700","6","6","6","106.98035430908203","102.40242004394531","110.97884368896484"
"800","7","7","7","110.10228118896484","107.67021179199219","114.43974304199219"
"900","8","8","8","106.38719482421875","100.79463195800781","115.47148895263672"
"1000","9","9","9","107.44354400634765","104.49848937988281","111.81287384033203"
"1100","10","10","10","107.01746978759766","103.50418853759766","113.67792510986328"
"1200","11","11","11","106.71830139160156","103.92949676513672","108.564697265625"
"1300","12","12","12","106.02727966308593","101.10726928710938","110.12996673583984"
"1400","13","13","13","104.73368988037109","102.46208190917969","106.63884735107422"
"1500","14","14","14","108.15775299072266","105.7770767211914","110.03839874267578"
"1600","15","15","15","105.77098846435547","102.97062683105469","109.41064453125"
"1700","16","16","16","103.77886047363282","101.72541046142578","106.92475891113281"
"1800","17","17","17","106.973486328125","105.14176177978516","108.99190521240234"
"1900","18","18","18","103.91575775146484","97.6405029296875","111.1527099609375"
"2000","19","19","19","105.0124298095703","94.29829406738281","110.15199279785156"
"2100","20","20","20","104.39839935302734","99.62561798095703","109.38903045654297"
"2200","21","21","21","102.26930541992188","97.93074798583984","105.0921859741211"
"2300","22","22","22","100.07432556152344","96.44852447509766","101.96631622314453"
"2400","23","23","23","99.96645050048828","96.4150161743164","103.2213363647461"
"2500","24","24","24","102.00515289306641","98.0465316772461","107.60021209716797"
"2600","25","25","25","101.81596374511719","99.146728515625","105.59317016601562"
"2700","26","26","26","103.0472412109375","101.1384048461914","105.64299011230469"
"2800","27","27","27","100.87635650634766","95.90585327148438","104.99581909179688"
"2900","28","28","28","98.70129699707032","97.0527572631836","99.64910125732422"
"3000","29","29","29","98.71052551269531","95.86602020263672","100.52970123291016"
"3100","30","30","30","97.31135711669921","94.02407836914062","100.50182342529297"
"3200","31","31","31","101.35384826660156","96.54271697998047","107.53581237792969"
"3300","32","32","32","99.37959289550781","97.4074478149414","102.85944366455078"
"3400","33","33","33","98.5962905883789","95.9853744506836","102.27715301513672"
"3500","34","34","34","96.33050689697265","91.40338134765625","101.0355453491211"
"3600","35","35","35","94.2781265258789","91.98104095458984","99.12577056884766"
"3700","36","36","36","91.47955474853515","87.4967269897461","95.72665405273438"
"3800","37","37","37","94.03056945800782","88.8488998413086","98.00188446044922"
"3900","38","38","38","96.27249145507812","91.908203125","101.04637145996094"
"4000","39","39","39","96.25595703125","92.95858764648438","99.5084457397461"
"4100","40","40","40","96.78939056396484","93.73737335205078","102.13347625732422"
"4200","41","41","41","94.57146453857422","89.3768081665039","98.98246765136719"
"4300","42","42","42","92.18362579345703","87.57975769042969","96.75962829589844"
"4400","43","43","43","91.55200500488282","90.4888687133789","92.54153442382812"
"4500","44","44","44","90.90234680175782","83.9072036743164","93.8729019165039"
"4600","45","45","45","93.0933349609375","91.84609985351562","94.29387664794922"
"4700","46","46","46","91.681005859375","89.02729034423828","95.73661041259766"
"4800","47","47","47","90.37605438232421","82.57030487060547","93.54584503173828"
"4900","48","48","48","91.12152557373047","87.88809967041016","94.26769256591797"
"5000","49","49","49","87.98419036865235","84.32395935058594","90.48300170898438"
"5100","50","50","50","87.04161529541015","84.94244384765625","89.18067169189453"
"5200","51","51","51","88.30525665283203","84.63008880615234","93.41160583496094"
"5300","52","52","52","88.03329467773438","85.8770980834961","90.81129455566406"
"5400","53","53","53","88.16594848632812","87.51497650146484","88.74320220947266"
"5500","54","54","54","89.66880645751954","86.35861206054688","91.55709075927734"
"5600","55","55","55","91.11744689941406","88.10070037841797","95.36923217773438"
"5700","56","56","56","88.56418914794922","85.366943359375","91.33999633789062"
"5800","57","57","57","86.84840087890625","83.75090026855469","89.24931335449219"
"5900","58","58","58","86.78412017822265","82.1702880859375","93.68762969970703"
"6000","59","59","59","85.85097045898438","83.27153015136719","87.8398208618164"
"6100","60","60","60","86.63182220458984","83.57821655273438","91.43038177490234"
"6200","61","61","61","84.23755950927735","80.61637878417969","87.23635864257812"
"6300","62","62","62","86.29973602294922","83.54390716552734","89.23176574707031"
"6400","63","63","63","82.79183807373047","78.77735900878906","86.94245910644531"
"6500","64","64","64","85.92637634277344","81.96479034423828","89.98607635498047"
"6600","65","65","65","84.54410400390626","80.94554138183594","88.36280822753906"
"6700","66","66","66","85.35594482421875","83.65047454833984","87.82696533203125"
"6800","67","67","67","84.49144592285157","81.33216857910156","88.0394287109375"
"6900","68","68","68","85.09561614990234","83.2834243774414","87.42180633544922"
"7000","69","69","69","84.78211364746093","82.55767059326172","86.74870300292969"
"7100","70","70","70","82.66991577148437","81.70228576660156","84.14228057861328"
"7200","71","71","71","83.2538833618164","81.71875762939453","85.54696655273438"
"7300","72","72","72","82.3447280883789","80.2347412109375","86.26749420166016"
"7400","73","73","73","83.44761657714844","79.9778823852539","85.65088653564453"
"7500","74","74","74","81.58483123779297","78.4136962890625","88.28931427001953"
"7600","75","75","75","82.94305114746093","80.31640625","86.10674285888672"
"7700","76","76","76","82.7553695678711","81.03462219238281","83.78368377685547"
"7800","77","77","77","80.01812438964843","77.93653106689453","81.61318969726562"
"7900","78","78","78","79.93781127929688","77.68389129638672","81.34404754638672"
"8000","79","79","79","83.52464141845704","80.71591186523438","85.57218170166016"
"8100","80","80","80","81.22608947753906","78.42359161376953","84.41401672363281"
"8200","81","81","81","81.18547058105469","76.45734405517578","85.67949676513672"
"8300","82","82","82","79.35610809326172","77.86598205566406","80.85780334472656"
"8400","83","83","83","82.29726715087891","81.01822662353516","85.09068298339844"
"8500","84","84","84","78.41072082519531","76.3951644897461","82.78009796142578"
"8600","85","85","85","78.93686370849609","76.41105651855469","80.74800109863281"
"8700","86","86","86","79.17989807128906","77.5327377319336","80.97672271728516"
"8800","87","87","87","79.28599853515625","76.88932800292969","81.2694091796875"
"8900","88","88","88","78.96147766113282","76.57177734375","83.11044311523438"
"9000","89","89","89","79.39617156982422","76.60478973388672","81.30101013183594"
"9100","90","90","90","78.48116760253906","75.94457244873047","81.0610580444336"
"9200","91","91","91","79.2381607055664","77.65967559814453","81.60138702392578"
"9300","92","92","92","77.46326904296875","75.64057159423828","79.31682586669922"
"9400","93","93","93","78.17919006347657","74.25374603271484","79.31732177734375"
"9500","94","94","94","78.68555450439453","77.35575103759766","79.56271362304688"
"9600","95","95","95","77.81615753173828","76.48587036132812","78.95045471191406"
"9700","96","96","96","78.73218688964843","78.01087951660156","80.78824615478516"
"9800","97","97","97","78.48351287841797","77.03941345214844","79.63629913330078"
"9900","98","98","98","77.25659942626953","74.2015151977539","80.32683563232422"
"10000","99","99","99","77.61649627685547","76.50616455078125","78.6270523071289"
"10100","100","100","100","77.34358978271484","75.67377471923828","79.35794067382812"
"10200","101","101","101","77.08975219726562","73.5316162109375","78.6410903930664"
"10300","102","102","102","76.49888610839844","74.26622009277344","80.09068298339844"
"10400","103","103","103","75.70433044433594","73.32035064697266","78.35575866699219"
