"ray/tune/custom_metrics/real_step_mean","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MAX"
"0","51","0","102","100.39974264496739","77.4705810546875","125.38771057128906","","","","","","","","","","","","","","","","","",""
"0.7699999809265137","","","","","","","","","","","","","0","0","0","119.06034851074219","119.06034851074219","119.06034851074219","","","","","",""
"0.8999999761581421","103","103","103","78.04234313964844","78.04234313964844","78.04234313964844","","","","","","","","","","","","","","","","","",""
"1","104","104","104","77.72433471679688","77.72433471679688","77.72433471679688","","","","","","","","","","","","","","","","","",""
"1.5","","","","","","","0","0","0","122.85707092285156","122.85707092285156","122.85707092285156","","","","","","","","","","","",""
"1.9900000095367432","105","105","105","79.24251556396484","79.24251556396484","79.24251556396484","","","","","","","","","","","","","","","","","",""
"2","107","106","108","76.95847066243489","75.90673828125","77.87415313720703","","","","","","","","","","","","","","","","","",""
"2.1500000953674316","109","109","109","74.11418151855469","74.11418151855469","74.11418151855469","","","","","","","","","","","","","","","","","",""
"3","112","110","114","75.03458709716797","74.15916442871094","75.66514587402344","","","","","","","","","","","","","","","","","",""
"3.1700000762939453","115","115","115","74.44670104980469","74.44670104980469","74.44670104980469","","","","","","","","","","","","","","","","","",""
"3.5","","","","","","","","","","","","","","","","","","","0","0","0","116.53646850585938","116.53646850585938","116.53646850585938"
"3.6700000762939453","","","","","","","","","","","","","1","1","1","105.52262878417969","105.52262878417969","105.52262878417969","","","","","",""
"4.760000228881836","","","","","","","1","1","1","109.44865417480469","109.44865417480469","109.44865417480469","","","","","","","","","","","",""
"5","116.5","116","117","72.32926177978516","71.94056701660156","72.71795654296875","","","","","","","","","","","","","","","","","",""
"5.380000114440918","118","118","118","70.80511474609375","70.80511474609375","70.80511474609375","","","","","","","","","","","","","","","","","",""
"6","119","119","119","71.59113311767578","71.59113311767578","71.59113311767578","","","","","","","","","","","","","","","","","",""
"6.010000228881836","120","120","120","70.43537902832031","70.43537902832031","70.43537902832031","","","","","","","","","","","","","","","","","",""
