"ray/tune/custom_metrics/real_step_max","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MAX"
"0","","","","","","","1.5","0","5","112.7682367960612","109.3471450805664","119.11471557617188","15.734265734265735","0","42","108.84736713329396","99.53815460205078","118.97871398925781","0","0","0","112.71390533447266","112.71390533447266","112.71390533447266","","","","","","","0","0","0","116.31838989257812","116.31838989257812","116.31838989257812","51.58730158730159","0","113","99.86243077146223","71.81254577636719","117.9217300415039","","","","","",""
"1","0","0","0","112.99029541015625","112.99029541015625","112.99029541015625","2.888888888888889","0","7","112.43267737494574","108.3046646118164","119.84456634521484","43.776595744680854","16","75","103.18758116377161","93.27263641357422","113.22744750976562","","","","","","","0.3333333333333333","0","1","117.39565022786458","111.1516342163086","121.60948181152344","0","0","0","119.00457763671875","119.00457763671875","119.00457763671875","50.23076923076923","14","118","97.80611556615585","71.6773681640625","112.97727966308594","","","","","",""
"2","","","","","","","6","2","11","110.64138565063476","107.78026580810547","117.72916412353516","65.20833333333333","25","94","97.36346403757732","87.83633422851562","111.57320404052734","0.2","0","1","115.02389068603516","111.61376953125","120.76290130615234","1","0","2","111.99891662597656","107.65203857421875","116.13834381103516","","","","","","","78.0945945945946","42","119","91.7146778622189","72.18215942382812","103.11915588378906","0","0","0","117.87023162841797","117.87023162841797","117.87023162841797"
"3","0","0","0","114.44574228922527","111.85816192626953","119.0887451171875","6.2","3","12","107.34464569091797","105.19071960449219","108.70448303222656","47.62068965517241","29","95","101.95331836568899","89.1397705078125","109.26187896728516","1","1","1","120.18785095214844","120.18785095214844","120.18785095214844","1","0","2","111.86169815063477","109.27140045166016","114.45199584960938","","","","","","","110.64285714285714","105","121","74.58219637189593","70.73533630371094","77.83698272705078","","","","","",""
"4","1","1","1","110.82971954345703","110.82971954345703","110.82971954345703","8.705882352941176","4","15","110.08022487864775","106.7682876586914","112.83134460449219","64.29629629629629","32","96","97.59713575575087","85.04084777832031","106.68067932128906","0.3333333333333333","0","2","113.56693649291992","111.16325378417969","118.11145782470703","1.5","1","2","115.1480827331543","110.78240966796875","119.51375579833984","0","0","0","113.57532501220703","113.41029357910156","113.7403564453125","112.57142857142857","109","122","73.22685132707868","70.8030014038086","75.1250228881836","","","","","",""
"5","1","0","2","110.93042755126953","107.29313659667969","117.65701293945312","9.375","7","13","109.28650856018066","104.99388122558594","112.50553894042969","75.53846153846153","52","92","94.86504950890175","89.99205017089844","98.62920379638672","1","1","1","109.23958587646484","108.09794616699219","111.19580078125","3","3","3","115.7314682006836","114.10999298095703","117.35294342041016","0.6666666666666666","0","1","113.09271748860677","110.34764862060547","116.62763977050781","117.66666666666667","114","123","72.18374633789062","69.69353485107422","73.81301879882812","","","","","",""
"6","2.5","2","3","111.98986434936523","110.48828887939453","113.49143981933594","11.5","9","14","111.15472666422527","107.78473663330078","113.80851745605469","71.4390243902439","53","89","95.93002989233995","90.0605697631836","103.26498413085938","1.6666666666666667","1","3","112.53435770670573","108.90321350097656","114.53224182128906","0.5","0","1","112.23221206665039","110.2579345703125","114.20648956298828","1","1","1","113.65379333496094","113.65379333496094","113.65379333496094","115.21428571428571","110","124","72.86672483171735","69.59220886230469","76.15005493164062","","","","","",""
"7","3.5","3","4","109.3421859741211","109.29203033447266","109.39234161376953","15.416666666666666","12","19","108.862060546875","101.23678588867188","112.38633728027344","91.6470588235294","84","98","89.75297950295841","84.91996002197266","97.22176361083984","2","2","2","108.22648620605469","108.22648620605469","108.22648620605469","2.8","1","4","110.64481964111329","106.03362274169922","116.39169311523438","1.6666666666666667","1","2","109.99584452311198","108.58882141113281","111.98225402832031","118.16666666666667","113","125","72.7129020690918","70.83694458007812","74.1137924194336","0","0","0","116.69512939453125","116.69512939453125","116.69512939453125"
"8","1.3333333333333333","1","2","111.63230641682942","110.04315185546875","113.99561309814453","18.31578947368421","10","26","108.18034402947677","104.90728759765625","114.80692291259766","89.33333333333333","85","96","91.73887803819444","87.13676452636719","95.65398406982422","1","1","1","112.56092071533203","112.56092071533203","112.56092071533203","5","5","5","109.7840576171875","107.35209655761719","112.21601867675781","1","1","1","110.26775360107422","110.26775360107422","110.26775360107422","122","118","126","71.25942840576172","69.9136734008789","73.63127899169922","0","0","0","112.81391906738281","112.81391906738281","112.81391906738281"
"9","2","2","2","116.68933868408203","113.1478271484375","120.23085021972656","19.2","16","23","108.96327056884766","103.08018493652344","113.23660278320312","93.6","89","99","88.92498245239258","85.47925567626953","93.76912689208984","1.75","1","2","111.48165512084961","107.78689575195312","114.64415740966797","","","","","","","2.5","2","3","111.13915252685547","110.71662139892578","111.56168365478516","121","115","127","71.4276611328125","68.95907592773438","73.29701232910156","","","","","",""
