"ray/tune/custom_metrics/real_step_mean","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MAX"
"7.204999923706055","","","","","","","","","","","","","0","0","0","122.10784149169922","122.10784149169922","122.10784149169922"
"13.130000114440918","","","","","","","0","0","0","111.16085052490234","111.16085052490234","111.16085052490234","","","","","",""
"17.799999237060547","0","0","0","117.87954711914062","117.87954711914062","117.87954711914062","","","","","","","","","","","",""
"32.540000915527344","","","","","","","","","","","","","1","1","1","108.40128326416016","108.40128326416016","108.40128326416016"
"34.459999084472656","","","","","","","1","1","1","115.96987915039062","115.96987915039062","115.96987915039062","","","","","",""
"49.97999954223633","1","1","1","114.21713256835938","114.21713256835938","114.21713256835938","","","","","","","","","","","",""
"56.2599983215332","","","","","","","2","2","2","114.96705627441406","114.96705627441406","114.96705627441406","","","","","",""
"57.34000015258789","","","","","","","","","","","","","2","2","2","116.31089782714844","116.31089782714844","116.31089782714844"
"79.66999816894531","","","","","","","3","3","3","108.22605895996094","108.22605895996094","108.22605895996094","","","","","",""
"80.38999938964844","2","2","2","112.23822021484375","112.23822021484375","112.23822021484375","","","","","","","","","","","",""
"82.63999938964844","","","","","","","","","","","","","3","3","3","111.81661224365234","111.81661224365234","111.81661224365234"
"105.41000366210938","","","","","","","","","","","","","4","4","4","113.31599426269531","113.31599426269531","113.31599426269531"
"108.94999694824219","","","","","","","4","4","4","105.79639434814453","105.79639434814453","105.79639434814453","","","","","",""
"113.37999725341797","3","3","3","114.12969970703125","114.12969970703125","114.12969970703125","","","","","","","","","","","",""
"123.3499984741211","","","","","","","","","","","","","5","5","5","113.58417510986328","113.58417510986328","113.58417510986328"
"140.05999755859375","","","","","","","5","5","5","111.87367248535156","111.87367248535156","111.87367248535156","","","","","",""
"148.27999877929688","4","4","4","113.69914245605469","113.69914245605469","113.69914245605469","","","","","","","","","","","",""
"149.63999938964844","","","","","","","","","","","","","6","6","6","113.30976867675781","113.30976867675781","113.30976867675781"
"166.07000732421875","","","","","","","6","6","6","103.93944549560547","103.93944549560547","103.93944549560547","","","","","",""
"168.36000061035156","","","","","","","","","","","","","7","7","7","113.24553680419922","113.24553680419922","113.24553680419922"
"182.55999755859375","5","5","5","105.56316375732422","105.56316375732422","105.56316375732422","","","","","","","","","","","",""
"196.00999450683594","","","","","","","7","7","7","110.84603881835938","110.84603881835938","110.84603881835938","","","","","",""
"196.38999938964844","","","","","","","","","","","","","8","8","8","110.30809020996094","110.30809020996094","110.30809020996094"
"215.55999755859375","6","6","6","112.5190658569336","112.5190658569336","112.5190658569336","","","","","","","","","","","",""
"218.44000244140625","","","","","","","8","8","8","116.55924987792969","116.55924987792969","116.55924987792969","","","","","",""
"223.9199981689453","","","","","","","","","","","","","9","9","9","107.11748504638672","107.11748504638672","107.11748504638672"
"246.57000732421875","","","","","","","9","9","9","108.86723327636719","108.86723327636719","108.86723327636719","","","","","",""
"248.32000732421875","7","7","7","114.39671325683594","114.39671325683594","114.39671325683594","","","","","","","","","","","",""
"253.5800018310547","","","","","","","","","","","","","10","10","10","106.05551147460938","106.05551147460938","106.05551147460938"
"277.8599853515625","","","","","","","10","10","10","104.67938232421875","104.67938232421875","104.67938232421875","","","","","",""
"281.7699890136719","8","8","8","109.87738037109375","109.87738037109375","109.87738037109375","","","","","","","","","","","",""
"283.5799865722656","","","","","","","","","","","","","11","11","11","106.75507354736328","106.75507354736328","106.75507354736328"
"305.1499938964844","","","","","","","11","11","11","109.35276794433594","109.35276794433594","109.35276794433594","","","","","",""
"312.5400085449219","","","","","","","","","","","","","12","12","12","103.09745788574219","103.09745788574219","103.09745788574219"
"315.8699951171875","9","9","9","109.28170013427734","109.28170013427734","109.28170013427734","","","","","","","","","","","",""
"333.0199890136719","","","","","","","12","12","12","105.37832641601562","105.37832641601562","105.37832641601562","","","","","",""
"343.79998779296875","","","","","","","","","","","","","13","13","13","101.71427917480469","101.71427917480469","101.71427917480469"
"354.5799865722656","10","10","10","107.9858169555664","107.9858169555664","107.9858169555664","","","","","","","","","","","",""
"363.9800109863281","","","","","","","13","13","13","107.25537109375","107.25537109375","107.25537109375","","","","","",""
"369.19000244140625","","","","","","","","","","","","","14","14","14","107.70801544189453","107.70801544189453","107.70801544189453"
"390.3500061035156","11","11","11","109.51053619384766","109.51053619384766","109.51053619384766","","","","","","","","","","","",""
"393.95001220703125","","","","","","","","","","","","","15","15","15","114.96467590332031","114.96467590332031","114.96467590332031"
"399.3599853515625","","","","","","","14","14","14","98.78263092041016","98.78263092041016","98.78263092041016","","","","","",""
"416.6000061035156","","","","","","","","","","","","","16","16","16","112.28349304199219","112.28349304199219","112.28349304199219"
"431.6300048828125","12","12","12","100.78437042236328","100.78437042236328","100.78437042236328","","","","","","","","","","","",""
"432.4700012207031","","","","","","","15","15","15","108.33214569091797","108.33214569091797","108.33214569091797","","","","","",""
"442.7699890136719","","","","","","","","","","","","","17","17","17","110.1030044555664","110.1030044555664","110.1030044555664"
"461.7799987792969","","","","","","","16","16","16","105.12657928466797","105.12657928466797","105.12657928466797","","","","","",""
"465.510009765625","","","","","","","","","","","","","18","18","18","109.4921646118164","109.4921646118164","109.4921646118164"
"477.3999938964844","13","13","13","100.01284790039062","100.01284790039062","100.01284790039062","","","","","","","","","","","",""
"492.1099853515625","","","","","","","","","","","","","19","19","19","104.29851531982422","104.29851531982422","104.29851531982422"
"493.989990234375","","","","","","","17","17","17","99.69339752197266","99.69339752197266","99.69339752197266","","","","","",""
"516.02001953125","14","14","14","112.82464599609375","112.82464599609375","112.82464599609375","","","","","","","","","","","",""
"523.1099853515625","","","","","","","","","","","","","20","20","20","110.14251708984375","110.14251708984375","110.14251708984375"
"525.3200073242188","","","","","","","18","18","18","113.8703384399414","113.8703384399414","113.8703384399414","","","","","",""
"552.47998046875","","","","","","","19","19","19","106.3011703491211","106.3011703491211","106.3011703491211","","","","","",""
"554.969970703125","","","","","","","","","","","","","21","21","21","106.7110824584961","106.7110824584961","106.7110824584961"
"558.6400146484375","15","15","15","106.76099395751953","106.76099395751953","106.76099395751953","","","","","","","","","","","",""
"584.739990234375","","","","","","","","","","","","","22","22","22","106.71630096435547","106.71630096435547","106.71630096435547"
"590.77001953125","","","","","","","20","20","20","95.48869323730469","95.48869323730469","95.48869323730469","","","","","",""
"596.9099731445312","16","16","16","104.99913787841797","104.99913787841797","104.99913787841797","","","","","","","","","","","",""
"601.6400146484375","","","","","","","","","","","","","23","23","23","103.71884155273438","103.71884155273438","103.71884155273438"
"619.2999877929688","","","","","","","21","21","21","107.26201629638672","107.26201629638672","107.26201629638672","","","","","",""
"626.2100219726562","","","","","","","","","","","","","24","24","24","108.62689971923828","108.62689971923828","108.62689971923828"
"641.4600219726562","","","","","","","22","22","22","104.25054168701172","104.25054168701172","104.25054168701172","","","","","",""
"643.1300048828125","17","17","17","96.03195190429688","96.03195190429688","96.03195190429688","","","","","","","","","","","",""
"653.6300048828125","","","","","","","","","","","","","25","25","25","98.3144760131836","98.3144760131836","98.3144760131836"
"671.52001953125","","","","","","","23","23","23","106.67616271972656","106.67616271972656","106.67616271972656","","","","","",""
"682.5900268554688","","","","","","","","","","","","","26","26","26","97.84789276123047","97.84789276123047","97.84789276123047"
"684.0599975585938","18","18","18","106.04016876220703","106.04016876220703","106.04016876220703","","","","","","","","","","","",""
"701.2100219726562","","","","","","","24","24","24","105.69992065429688","105.69992065429688","105.69992065429688","","","","","",""
"708.1400146484375","","","","","","","","","","","","","27","27","27","113.36166381835938","113.36166381835938","113.36166381835938"
"724.8599853515625","19","19","19","102.38095092773438","102.38095092773438","102.38095092773438","","","","","","","","","","","",""
"730.3200073242188","","","","","","","","","","","","","28","28","28","101.4191665649414","101.4191665649414","101.4191665649414"
"733.6300048828125","","","","","","","25","25","25","105.89686584472656","105.89686584472656","105.89686584472656","","","","","",""
"765.77001953125","","","","","","","","","","","","","29","29","29","101.3042221069336","101.3042221069336","101.3042221069336"
"767.760009765625","","","","","","","26","26","26","111.32125854492188","111.32125854492188","111.32125854492188","","","","","",""
"768.1699829101562","20","20","20","106.50941467285156","106.50941467285156","106.50941467285156","","","","","","","","","","","",""
"795.2899780273438","","","","","","","","","","","","","30","30","30","101.22002410888672","101.22002410888672","101.22002410888672"
"796.7000122070312","","","","","","","27","27","27","107.13027954101562","107.13027954101562","107.13027954101562","","","","","",""
"803.0900268554688","21","21","21","103.12046813964844","103.12046813964844","103.12046813964844","","","","","","","","","","","",""
"822.5800170898438","","","","","","","28","28","28","106.99913787841797","106.99913787841797","106.99913787841797","","","","","",""
"827.0599975585938","","","","","","","","","","","","","31","31","31","104.38227844238281","104.38227844238281","104.38227844238281"
"846.4600219726562","22","22","22","105.41030883789062","105.41030883789062","105.41030883789062","","","","","","","","","","","",""
"848.260009765625","","","","","","","29","29","29","103.94386291503906","103.94386291503906","103.94386291503906","","","","","",""
"853.2100219726562","","","","","","","","","","","","","32","32","32","101.19664001464844","101.19664001464844","101.19664001464844"
"874.1300048828125","","","","","","","30","30","30","104.18115997314453","104.18115997314453","104.18115997314453","","","","","",""
"878.6199951171875","","","","","","","","","","","","","33","33","33","103.21139526367188","103.21139526367188","103.21139526367188"
"886.97998046875","23","23","23","104.14427185058594","104.14427185058594","104.14427185058594","","","","","","","","","","","",""
"901.4199829101562","","","","","","","31","31","31","102.04100799560547","102.04100799560547","102.04100799560547","","","","","",""
