"ray/tune/info/num_steps_sampled","threshold_type: 10 - _step","threshold_type: 10 - _step__MIN","threshold_type: 10 - _step__MAX","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 10 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"100","0","0","0","0.18000000715255737","0.18000000715255737","0.18000000715255737","0","0","0","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"200","1","1","1","0.2199999988079071","0.2199999988079071","0.2199999988079071","1","1","1","0.009999999776482582","0.009999999776482582","0.009999999776482582","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"300","2","2","2","0.20000000298023224","0.20000000298023224","0.20000000298023224","2","2","2","0.03999999910593033","0.03999999910593033","0.03999999910593033","2","2","2","0","0","0","2","2","2","0.009999999776482582","0.009999999776482582","0.009999999776482582","2","2","2","0","0","0"
"400","3","3","3","0.18000000715255737","0.18000000715255737","0.18000000715255737","3","3","3","0.03999999910593033","0.03999999910593033","0.03999999910593033","3","3","3","0.009999999776482582","0.009999999776482582","0.009999999776482582","3","3","3","0","0","0","3","3","3","0","0","0"
"500","4","4","4","0.27000001072883606","0.27000001072883606","0.27000001072883606","4","4","4","0.03999999910593033","0.03999999910593033","0.03999999910593033","4","4","4","0.009999999776482582","0.009999999776482582","0.009999999776482582","4","4","4","0","0","0","4","4","4","0","0","0"
"600","5","5","5","0.2199999988079071","0.2199999988079071","0.2199999988079071","5","5","5","0.029999999329447746","0.029999999329447746","0.029999999329447746","5","5","5","0.019999999552965164","0.019999999552965164","0.019999999552965164","5","5","5","0","0","0","5","5","5","0","0","0"
"700","6","6","6","0.1899999976158142","0.1899999976158142","0.1899999976158142","6","6","6","0.03999999910593033","0.03999999910593033","0.03999999910593033","6","6","6","0.009999999776482582","0.009999999776482582","0.009999999776482582","6","6","6","0","0","0","6","6","6","0","0","0"
"800","7","7","7","0.23999999463558197","0.23999999463558197","0.23999999463558197","7","7","7","0.05000000074505806","0.05000000074505806","0.05000000074505806","7","7","7","0","0","0","7","7","7","0","0","0","7","7","7","0","0","0"
"900","8","8","8","0.25999999046325684","0.25999999046325684","0.25999999046325684","8","8","8","0.03999999910593033","0.03999999910593033","0.03999999910593033","8","8","8","0","0","0","8","8","8","0","0","0","8","8","8","0","0","0"
"1000","9","9","9","0.1899999976158142","0.1899999976158142","0.1899999976158142","9","9","9","0.029999999329447746","0.029999999329447746","0.029999999329447746","9","9","9","0.019999999552965164","0.019999999552965164","0.019999999552965164","9","9","9","0","0","0","9","9","9","0","0","0"
"1100","10","10","10","0.27000001072883606","0.27000001072883606","0.27000001072883606","10","10","10","0.029999999329447746","0.029999999329447746","0.029999999329447746","10","10","10","0.009999999776482582","0.009999999776482582","0.009999999776482582","10","10","10","0","0","0","10","10","10","0","0","0"
"1200","11","11","11","0.20000000298023224","0.20000000298023224","0.20000000298023224","11","11","11","0.019999999552965164","0.019999999552965164","0.019999999552965164","11","11","11","0","0","0","11","11","11","0","0","0","11","11","11","0","0","0"
"1300","12","12","12","0.17000000178813934","0.17000000178813934","0.17000000178813934","12","12","12","0.05000000074505806","0.05000000074505806","0.05000000074505806","12","12","12","0.019999999552965164","0.019999999552965164","0.019999999552965164","12","12","12","0","0","0","12","12","12","0","0","0"
"1400","13","13","13","0.2800000011920929","0.2800000011920929","0.2800000011920929","13","13","13","0.009999999776482582","0.009999999776482582","0.009999999776482582","13","13","13","0.009999999776482582","0.009999999776482582","0.009999999776482582","13","13","13","0","0","0","13","13","13","0","0","0"
