"ray/tune/custom_metrics/real_step_max","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MAX"
"0","","","","","","","1.5","0","5","112.7682367960612","109.3471450805664","119.11471557617188","15.734265734265735","0","42","108.84736713329396","99.53815460205078","118.97871398925781","51.58730158730159","0","113","99.86243077146223","71.81254577636719","117.9217300415039"
"1","0","0","0","112.99029541015625","112.99029541015625","112.99029541015625","2.888888888888889","0","7","112.43267737494574","108.3046646118164","119.84456634521484","43.776595744680854","16","75","103.18758116377161","93.27263641357422","113.22744750976562","50.23076923076923","14","118","97.80611556615585","71.6773681640625","112.97727966308594"
"2","","","","","","","6","2","11","110.64138565063476","107.78026580810547","117.72916412353516","65.20833333333333","25","94","97.36346403757732","87.83633422851562","111.57320404052734","78.0945945945946","42","119","91.7146778622189","72.18215942382812","103.11915588378906"
"3","0","0","0","114.44574228922527","111.85816192626953","119.0887451171875","6.2","3","12","107.34464569091797","105.19071960449219","108.70448303222656","47.62068965517241","29","95","101.95331836568899","89.1397705078125","109.26187896728516","110.64285714285714","105","121","74.58219637189593","70.73533630371094","77.83698272705078"
"4","1","1","1","110.82971954345703","110.82971954345703","110.82971954345703","8.705882352941176","4","15","110.08022487864775","106.7682876586914","112.83134460449219","64.29629629629629","32","96","97.59713575575087","85.04084777832031","106.68067932128906","112.57142857142857","109","122","73.22685132707868","70.8030014038086","75.1250228881836"
"5","1","0","2","110.93042755126953","107.29313659667969","117.65701293945312","9.375","7","13","109.28650856018066","104.99388122558594","112.50553894042969","75.53846153846153","52","92","94.86504950890175","89.99205017089844","98.62920379638672","117.66666666666667","114","123","72.18374633789062","69.69353485107422","73.81301879882812"
"6","2.5","2","3","111.98986434936523","110.48828887939453","113.49143981933594","11.5","9","14","111.15472666422527","107.78473663330078","113.80851745605469","71.4390243902439","53","89","95.93002989233995","90.0605697631836","103.26498413085938","115.21428571428571","110","124","72.86672483171735","69.59220886230469","76.15005493164062"
"7","3.5","3","4","109.3421859741211","109.29203033447266","109.39234161376953","15.416666666666666","12","19","108.862060546875","101.23678588867188","112.38633728027344","91.6470588235294","84","98","89.75297950295841","84.91996002197266","97.22176361083984","118.16666666666667","113","125","72.7129020690918","70.83694458007812","74.1137924194336"
"8","1.3333333333333333","1","2","111.63230641682942","110.04315185546875","113.99561309814453","18.31578947368421","10","26","108.18034402947677","104.90728759765625","114.80692291259766","89.33333333333333","85","96","91.73887803819444","87.13676452636719","95.65398406982422","122","118","126","71.25942840576172","69.9136734008789","73.63127899169922"
"9","2","2","2","116.68933868408203","113.1478271484375","120.23085021972656","19.2","16","23","108.96327056884766","103.08018493652344","113.23660278320312","93.6","89","99","88.92498245239258","85.47925567626953","93.76912689208984","121","115","127","71.4276611328125","68.95907592773438","73.29701232910156"
"10","4.5","4","5","112.69797134399414","112.62084197998047","112.77510070800781","24.727272727272727","15","31","106.53083662553267","103.28170013427734","110.49524688720703","96","94","99","84.7832768758138","79.53147888183594","88.7705078125","125.9375","117","134","69.77673864364624","66.7081069946289","72.25789642333984"
"11","4","3","6","109.78554026285808","108.39747619628906","111.80818939208984","22.8","16","32","107.42573547363281","105.48037719726562","108.62080383300781","97","95","100","84.9902359008789","82.6417465209961","89.33842468261719","125.8","119","135","69.53843688964844","65.61336517333984","72.17769622802734"
"12","3","3","3","115.09938049316406","115.09938049316406","115.09938049316406","22.1","17","33","106.51297302246094","102.45379638671875","110.08319091796875","98","96","100","81.58137130737305","78.01850128173828","84.88938903808594","126.125","121","131","69.771240234375","68.83746337890625","70.73174285888672"
"13","","","","","","","29","23","35","106.75147094726563","103.55210876464844","111.28714752197266","98","97","99","84.94657643636067","83.1103515625","87.02803039550781","126.5","124","129","70.83003616333008","70.68800354003906","70.9720687866211"
"14","4.333333333333333","4","5","111.39960479736328","109.54174041748047","113.10726928710938","25.666666666666668","19","36","108.24359893798828","106.1702651977539","110.41990661621094","100.66666666666667","99","102","79.83229573567708","79.00337219238281","81.39280700683594","130","125","136","68.76031239827473","64.2314224243164","71.16529846191406"
"15","7","7","7","113.37860107421875","113.37860107421875","113.37860107421875","31.77777777777778","21","41","104.83661227756076","102.08403015136719","108.13922882080078","100","100","100","79.989013671875","79.989013671875","79.989013671875","129","126","137","68.60752716064454","64.21660614013672","70.2503433227539"
"16","","","","","","","29.714285714285715","26","42","106.95305524553571","100.5345230102539","110.426513671875","101.75","99","104","79.60584259033203","78.26848602294922","81.123291015625","133.5","133","134","68.99969482421875","68.90436553955078","69.09502410888672"
"17","","","","","","","29.6","24","33","106.99742431640625","100.35771942138672","111.28511810302734","100.5","100","101","80.51263809204102","80.50172424316406","80.52355194091797","131","128","134","69.37819417317708","67.72396087646484","70.82145690917969"
"18","8","8","8","115.16764831542969","115.16764831542969","115.16764831542969","35.2","26","44","105.04040222167968","99.0229721069336","112.23696899414062","","","","","","","134.2","131","138","67.51174697875976","63.733951568603516","69.80989837646484"
"19","4.5","4","5","111.1960563659668","108.86600494384766","113.52610778808594","38.375","27","47","104.25276947021484","98.91985321044922","107.55978393554688","102.66666666666667","101","105","79.71770477294922","76.62762451171875","81.75818634033203","133","129","136","68.42549324035645","67.60062408447266","69.09806823730469"
"20","5","5","5","106.21548461914062","106.21548461914062","106.21548461914062","34.5","31","38","102.0403938293457","100.64562225341797","104.02445220947266","102.33333333333333","102","103","78.28516387939453","77.54729461669922","79.09109497070312","136","130","139","67.24626007080079","62.83171081542969","68.87931823730469"
"21","","","","","","","38","32","49","104.20792134602864","101.00810241699219","109.33758544921875","103.5","103","104","80.71601867675781","79.93576049804688","81.49627685546875","134.6","131","138","68.28476104736328","66.85371398925781","69.7330551147461"
"22","6","6","6","108.89473724365234","108.89473724365234","108.89473724365234","35.5","28","43","104.0822853088379","101.48839569091797","108.19256591796875","106","106","106","76.84796905517578","76.84796905517578","76.84796905517578","139.33333333333334","139","140","66.58160146077473","65.93156433105469","67.44507598876953"
"23","7","5","9","111.52528762817383","110.18580627441406","112.8647689819336","39.5","33","50","104.08506202697754","101.9002914428711","106.23058319091797","103.5","100","105","78.75879859924316","77.40367126464844","80.12091827392578","138","133","141","66.2324612935384","62.40982437133789","69.77255249023438"
"24","","","","","","","42.42857142857143","34","47","102.44072614397321","98.54898071289062","104.90165710449219","101","101","101","79.4776840209961","79.4776840209961","79.4776840209961","139","136","142","65.74797058105469","65.2205810546875","66.27536010742188"
"25","6.5","6","7","110.97564697265625","110.51797485351562","111.43331909179688","41.8","35","51","102.93483428955078","101.12645721435547","104.87178039550781","106","106","106","77.20365905761719","77.20365905761719","77.20365905761719","138.5","134","143","67.61919021606445","66.07257080078125","69.16580963134766"
"26","6","6","6","108.72444152832031","108.72444152832031","108.72444152832031","46.5","39","54","103.55966854095459","98.00315856933594","109.27935028076172","105.75","103","107","77.89952659606934","77.14495849609375","79.05899047851562","137","135","140","66.19339179992676","64.29112243652344","67.91514587402344"
"27","7.666666666666667","6","10","110.65134684244792","109.10778045654297","111.4852294921875","46.42857142857143","36","55","101.05759538922992","97.3619384765625","104.80213928222656","","","","","","","145","144","146","65.76378885904948","64.56990051269531","66.8870620727539"
"28","8","8","8","108.63351440429688","108.63351440429688","108.63351440429688","45.4","41","56","104.33291015625","99.88294219970703","107.81714630126953","105.66666666666667","102","108","78.02974955240886","77.49147033691406","78.46266174316406","141","138","147","65.5174346923828","64.53301239013672","66.60907745361328"
"29","9","7","11","107.522705078125","106.93180084228516","108.11360931396484","38","38","38","101.9290771484375","101.9290771484375","101.9290771484375","103.5","103","104","77.0528450012207","76.58329772949219","77.52239227294922","142.6","137","149","64.8978141784668","62.19663619995117","66.9413833618164"
"30","","","","","","","46.166666666666664","39","53","102.54723103841145","100.7516098022461","103.86347961425781","","","","","","","145","139","151","65.08700180053711","63.50391387939453","66.92343139648438"
"31","","","","","","","51.09090909090909","45","57","100.97163460471414","97.33787536621094","103.83486938476562","109","109","109","74.03300476074219","74.03300476074219","74.03300476074219","141.5","141","142","64.90290451049805","64.89918518066406","64.90662384033203"
"32","7.666666666666667","7","8","109.76560465494792","106.59954833984375","111.63040161132812","52.8","40","60","100.35385284423828","95.71281433105469","102.63081359863281","106","104","108","79.10300827026367","77.64852905273438","80.55748748779297","146.5","141","152","64.41992568969727","63.78966522216797","65.05018615722656"
"33","","","","","","","51.875","42","62","102.14867305755615","99.29326629638672","106.45146942138672","108","108","108","76.02095794677734","76.02095794677734","76.02095794677734","","","","","",""
"34","10.5","9","12","108.10574340820312","104.83336639404297","111.37812042236328","59.2","50","63","101.33763580322265","96.37076568603516","104.12075805664062","105","105","105","78.72826385498047","78.72826385498047","78.72826385498047","142","142","142","60.947452545166016","60.947452545166016","60.947452545166016"
"35","9","9","9","108.69060897827148","108.66217803955078","108.71903991699219","53.75","45","64","100.34356784820557","95.24456787109375","103.78349304199219","109","109","109","76.93177795410156","76.93177795410156","76.93177795410156","153","153","153","63.31475067138672","63.31475067138672","63.31475067138672"
"36","8","8","8","107.36524200439453","107.36524200439453","107.36524200439453","56","47","64","99.17396799723308","97.3052749633789","100.18871307373047","","","","","","","142.5","142","143","64.65503692626953","64.45530700683594","64.85476684570312"
"37","10","10","10","109.09107971191406","109.09107971191406","109.09107971191406","62","58","66","97.56680679321289","95.49503326416016","100.97702026367188","108","106","110","76.08170700073242","74.57780456542969","77.58560943603516","","","","","",""
"38","11","10","12","110.90957895914714","108.66703796386719","113.37295532226562","64.71428571428571","54","70","97.93362208775112","93.95282745361328","101.00440979003906","106","105","107","77.33387756347656","76.51424407958984","78.15351104736328","148","142","154","63.84228706359863","63.1936149597168","64.49095916748047"
"39","10.666666666666666","9","13","107.05746205647786","103.37689208984375","109.3806381225586","53.375","48","61","102.81768417358398","100.0267333984375","108.96109771728516","109","109","109","75.23615264892578","75.23615264892578","75.23615264892578","149.5","144","155","63.24372673034668","62.942989349365234","63.544464111328125"
"40","11","11","11","112.6122817993164","112.6122817993164","112.6122817993164","63.25","52","72","96.62823486328125","95.39974212646484","99.31916809082031","","","","","","","143","143","143","62.38069725036621","60.69632339477539","64.06507110595703"
"41","13","13","13","107.03470611572266","107.03470611572266","107.03470611572266","65.4","53","73","99.15045318603515","95.47946166992188","103.75341796875","110.5","110","111","75.18450927734375","74.78170776367188","75.58731079101562","145","145","145","62.97338104248047","62.97338104248047","62.97338104248047"
"42","12.5","11","14","106.61101913452148","105.4642105102539","107.75782775878906","62.166666666666664","54","74","98.56175994873047","94.63525390625","103.46125793457031","109","108","110","76.66608810424805","75.60721588134766","77.72496032714844","149.5","143","156","64.07794380187988","62.57583999633789","65.58004760742188"
"43","11","10","12","107.84405136108398","104.90628814697266","110.78181457519531","65.125","56","75","97.91467666625977","94.75968933105469","101.35681915283203","","","","","","","144","144","144","63.2867431640625","63.2867431640625","63.2867431640625"
"44","12","12","12","112.58319091796875","112.58319091796875","112.58319091796875","70.8","60","77","96.51889190673828","94.26658630371094","99.82928466796875","111","111","111","75.99936294555664","75.18887329101562","76.80985260009766","","","","","",""
"45","13","13","13","111.68653106689453","111.68653106689453","111.68653106689453","76.16666666666667","69","79","94.79034932454427","92.25912475585938","97.99640655517578","106","106","106","76.84111785888672","76.84111785888672","76.84111785888672","","","","","",""
"46","15","15","15","109.10954284667969","109.10954284667969","109.10954284667969","70","58","81","95.4513931274414","94.46585845947266","97.11396789550781","110.33333333333333","107","112","75.75938161214192","73.85385131835938","78.64768981933594","144.66666666666666","144","146","62.67894617716471","60.961456298828125","65.65336608886719"
"47","","","","","","","68.71428571428571","62","82","97.00409153529576","91.94255828857422","99.90152740478516","","","","","","","","","","","",""
"48","12.5","11","14","109.37184143066406","108.12351989746094","110.69964599609375","71","59","83","96.22565460205078","95.11566925048828","98.59159088134766","108","108","108","74.930419921875","74.930419921875","74.930419921875","","","","","",""
"49","16","16","16","109.79228973388672","109.79228973388672","109.79228973388672","75.6","60","84","95.90644226074218","92.52487182617188","100.92262268066406","109","109","109","74.8930435180664","74.8930435180664","74.8930435180664","","","","","",""
"50","15","15","15","112.7520751953125","112.7520751953125","112.7520751953125","73.75","61","85","94.36331176757812","91.93183898925781","97.43956756591797","110.5","109","112","76.0106315612793","75.68338775634766","76.33787536621094","145","145","145","65.15027618408203","65.15027618408203","65.15027618408203"
"51","14","14","14","107.24347686767578","107.24347686767578","107.24347686767578","76","68","86","94.51788177490235","93.53987121582031","96.24353790283203","113","113","113","74.96253967285156","74.96253967285156","74.96253967285156","151","145","157","62.61627388000488","61.0543098449707","64.17823791503906"
"52","17","17","17","108.17440032958984","108.17440032958984","108.17440032958984","74","62","87","96.33072280883789","92.07056427001953","99.97542572021484","113","113","113","74.96791076660156","74.96791076660156","74.96791076660156","","","","","",""
"53","14.5","14","15","104.91127014160156","102.6156005859375","107.20693969726562","70","70","70","99.44078826904297","99.44078826904297","99.44078826904297","111.5","110","113","74.79486465454102","74.54026794433594","75.0494613647461","","","","","",""
"54","13","13","13","104.6957778930664","104.6957778930664","104.6957778930664","74","71","76","95.51099395751953","93.82123565673828","96.86741638183594","114","114","114","75.07433319091797","75.07433319091797","75.07433319091797","145.5","145","146","62.629329681396484","60.163482666015625","65.09517669677734"
"55","16","16","16","104.80274200439453","104.80274200439453","104.80274200439453","73","64","88","96.08154678344727","91.278564453125","101.09249877929688","114","114","114","74.38018798828125","74.38018798828125","74.38018798828125","","","","","",""
"56","18","18","18","112.47390747070312","112.47390747070312","112.47390747070312","81","73","89","95.23667526245117","92.69598388671875","97.7773666381836","110","110","110","76.97874450683594","76.97874450683594","76.97874450683594","","","","","",""
"57","16.666666666666668","14","19","105.49819946289062","103.6560287475586","108.3418197631836","82.5","79","86","93.94079208374023","92.31043243408203","95.57115173339844","115","115","115","74.70365142822266","74.70365142822266","74.70365142822266","146","146","146","60.46127700805664","60.46127700805664","60.46127700805664"
"58","15.5","15","16","106.81410217285156","106.4657211303711","107.16248321533203","75.16666666666667","69","87","95.70579783121745","93.61652374267578","97.20894622802734","","","","","","","","","","","",""
"59","","","","","","","79.66666666666667","71","88","95.26495869954427","92.48136901855469","97.01966857910156","115","115","115","72.58074188232422","72.58074188232422","72.58074188232422","146.5","146","147","63.58422088623047","63.18267059326172","63.98577117919922"
"60","18","18","18","105.70468139648438","105.70468139648438","105.70468139648438","90.5","90","91","90.75402450561523","90.61553192138672","90.89251708984375","115","114","116","75.06599807739258","74.61368560791016","75.518310546875","147","147","147","65.09061431884766","65.09061431884766","65.09061431884766"
"61","17.5","15","20","105.69175720214844","105.44319152832031","105.94032287597656","80.2","72","90","94.5240966796875","90.80315399169922","96.47087097167969","","","","","","","","","","","",""
"62","","","","","","","76.66666666666667","74","81","96.45812479654948","95.28741455078125","97.66741180419922","111","111","111","74.94526672363281","74.94526672363281","74.94526672363281","","","","","",""
"63","16","16","16","104.9498062133789","104.9498062133789","104.9498062133789","86.5","82","91","91.04426956176758","90.3426513671875","91.74588775634766","113.5","111","116","74.19425964355469","74.07127380371094","74.31724548339844","147","147","147","59.715370178222656","59.715370178222656","59.715370178222656"
"64","17","17","17","107.97752380371094","107.97752380371094","107.97752380371094","86.71428571428571","76","93","92.64954158238002","88.90904235839844","95.35265350341797","114.5","112","117","74.7972297668457","74.08853149414062","75.50592803955078","153","148","158","61.86243438720703","60.065006256103516","63.65986251831055"
"65","18.5","16","21","108.7673568725586","108.69947814941406","108.83523559570312","79","79","79","93.47769165039062","93.47769165039062","93.47769165039062","","","","","","","","","","","",""
"66","19.5","17","22","109.16841506958008","108.38822937011719","109.94860076904297","83.2","77","94","93.00102081298829","88.5573959350586","95.50822448730469","","","","","","","","","","","",""
"67","19","19","19","102.52664184570312","102.52664184570312","102.52664184570312","84.66666666666667","78","94","91.63871765136719","90.45999908447266","93.66234588623047","113.5","112","115","74.71055221557617","74.03681945800781","75.38428497314453","147","147","147","63.26414108276367","63.26414108276367","63.26414108276367"
"68","18","18","18","108.85196685791016","108.85196685791016","108.85196685791016","","","","","","","117","117","117","73.2132568359375","73.2132568359375","73.2132568359375","","","","","",""
"69","19","18","20","107.28712463378906","105.23255920410156","109.34169006347656","85.57142857142857","79","95","92.92723192487445","89.86170959472656","95.93074798583984","","","","","","","148.5","148","149","62.9945182800293","61.62047576904297","64.36856079101562"
"70","19","19","19","105.66913604736328","105.66913604736328","105.66913604736328","87.5","80","95","91.14823532104492","87.91790771484375","94.3785629272461","115.5","113","118","75.17792892456055","74.75601196289062","75.59984588623047","159","159","159","59.40032958984375","59.40032958984375","59.40032958984375"
"71","23","23","23","106.64942169189453","106.64942169189453","106.64942169189453","87.33333333333333","85","89","91.33910369873047","89.71004486083984","92.8863525390625","","","","","","","148","148","148","61.248985290527344","60.31883239746094","62.17913818359375"
"72","21","21","21","111.48408508300781","111.48408508300781","111.48408508300781","81","81","81","93.2230224609375","93.2230224609375","93.2230224609375","114.5","113","116","73.9674072265625","73.0850830078125","74.8497314453125","","","","","",""
"73","","","","","","","88","82","96","92.74903106689453","90.91898345947266","95.14049530029297","118","118","118","73.61042022705078","73.61042022705078","73.61042022705078","","","","","",""
"74","20.5","19","22","108.1397590637207","106.31346130371094","109.96605682373047","89.5","83","96","92.2221565246582","90.42646789550781","94.0178451538086","","","","","","","149.5","149","150","61.7216796875","59.31438446044922","64.12897491455078"
"75","20.333333333333332","17","24","106.87554931640625","105.2587661743164","109.85114288330078","85.5","84","87","95.0687370300293","93.61939239501953","96.51808166503906","","","","","","","","","","","",""
"76","","","","","","","85","85","85","92.32415771484375","92.32415771484375","92.32415771484375","114","114","114","75.12532043457031","75.12532043457031","75.12532043457031","149","149","149","63.25566101074219","63.25566101074219","63.25566101074219"
"77","","","","","","","89","88","90","91.7657470703125","90.6467056274414","92.8847885131836","118","117","119","74.14813613891602","73.58517456054688","74.71109771728516","149","149","149","60.82795333862305","60.82795333862305","60.82795333862305"
"78","19","18","20","111.52867126464844","111.31085968017578","111.7464828491211","87.5","86","89","92.42412948608398","92.33950805664062","92.50875091552734","114","114","114","73.603271484375","73.603271484375","73.603271484375","","","","","",""
"79","","","","","","","88.5","87","90","90.54008865356445","89.37696075439453","91.70321655273438","","","","","","","","","","","",""
"80","23","23","23","107.14964294433594","107.14964294433594","107.14964294433594","91","91","91","91.40980529785156","91.40980529785156","91.40980529785156","115","115","115","74.60665893554688","74.60665893554688","74.60665893554688","","","","","",""
"81","25","25","25","107.45142364501953","107.45142364501953","107.45142364501953","90","88","92","90.89599227905273","90.60628509521484","91.18569946289062","","","","","","","151","151","151","63.2309455871582","63.2309455871582","63.2309455871582"
