"ray/tune/info/num_steps_sampled","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/is_step_in_real_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/is_step_in_real_mean__MAX"
"100","0","0","0","0.029999999701976775","0.009999999776482582","0.05000000074505806","0","0","0","0.0019999999552965165","0","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0"
"200","1","1","1","0.029999999701976775","0.009999999776482582","0.05000000074505806","1","1","1","0","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"300","2","2","2","0.013999999687075614","0","0.029999999329447746","2","2","2","0.007999999821186066","0","0.019999999552965164","2","2","2","0","0","0","2","2","2","0","0","0"
"400","3","3","3","0.019999999552965164","0.009999999776482582","0.029999999329447746","3","3","3","0.003999999910593033","0","0.009999999776482582","3","3","3","0","0","0","3","3","3","0","0","0"
"500","4","4","4","0.03399999924004078","0.009999999776482582","0.07999999821186066","4","4","4","0.005999999865889549","0","0.009999999776482582","4","4","4","0","0","0","4","4","4","0","0","0"
"600","5","5","5","0.04399999938905239","0.029999999329447746","0.05999999865889549","5","5","5","0.003999999910593033","0","0.009999999776482582","5","5","5","0","0","0","5","5","5","0","0","0"
"700","6","6","6","0.04999999888241291","0.009999999776482582","0.07999999821186066","6","6","6","0.007999999821186066","0","0.019999999552965164","6","6","6","0","0","0","6","6","6","0","0","0"
"800","7","7","7","0.03399999961256981","0.009999999776482582","0.05000000074505806","7","7","7","0.003999999910593033","0","0.009999999776482582","7","7","7","0","0","0","7","7","7","0","0","0"
"900","8","8","8","0.03599999994039536","0","0.07000000029802322","8","8","8","0.003999999910593033","0","0.009999999776482582","8","8","8","0","0","0","8","8","8","0","0","0"
"1000","9","9","9","0.03999999947845936","0.029999999329447746","0.05999999865889549","9","9","9","0.003999999910593033","0","0.009999999776482582","9","9","9","0","0","0","9","9","9","0","0","0"
"1100","10","10","10","0.03599999919533729","0.029999999329447746","0.03999999910593033","10","10","10","0.005999999865889549","0","0.019999999552965164","10","10","10","0","0","0","10","10","10","0","0","0"
"1200","11","11","11","0.025999999791383743","0.009999999776482582","0.05000000074505806","11","11","11","0","0","0","11","11","11","0","0","0","11","11","11","0","0","0"
"1300","12","12","12","0.019999999925494193","0","0.05000000074505806","12","12","12","0.005999999865889549","0","0.019999999552965164","12","12","12","0","0","0","12","12","12","0","0","0"
"1400","13","13","13","0.03999999947845936","0.019999999552965164","0.05999999865889549","13","13","13","0.003999999910593033","0","0.019999999552965164","13","13","13","0","0","0","13","13","13","0","0","0"
"1500","14","14","14","0.04799999929964542","0.029999999329447746","0.07999999821186066","14","14","14","0.003999999910593033","0","0.009999999776482582","14","14","14","0","0","0","14","14","14","0.0019999999552965165","0","0.009999999776482582"
"1600","15","15","15","0.03399999961256981","0.019999999552965164","0.05000000074505806","15","15","15","0.007999999821186066","0","0.019999999552965164","15","15","15","0","0","0","15","15","15","0","0","0"
