"ray/tune/custom_metrics/real_step_max","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: hard - _step","threshold_type: hard - _step__MIN","threshold_type: hard - _step__MAX","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: hard - ray/tune/custom_metrics/energy_cost_mean__MAX"
"0","51.58730158730159","0","113","99.86243077146223","71.81254577636719","117.9217300415039","","","","","",""
"1","50.23076923076923","14","118","97.80611556615585","71.6773681640625","112.97727966308594","","","","","",""
"2","78.0945945945946","42","119","91.7146778622189","72.18215942382812","103.11915588378906","","","","","",""
"3","110.64285714285714","105","121","74.58219637189593","70.73533630371094","77.83698272705078","","","","","",""
"4","112.57142857142857","109","122","73.22685132707868","70.8030014038086","75.1250228881836","","","","","",""
"5","117.66666666666667","114","123","72.18374633789062","69.69353485107422","73.81301879882812","","","","","",""
"6","115.21428571428571","110","124","72.86672483171735","69.59220886230469","76.15005493164062","","","","","",""
"7","118.16666666666667","113","125","72.7129020690918","70.83694458007812","74.1137924194336","","","","","",""
"8","122","118","126","71.25942840576172","69.9136734008789","73.63127899169922","","","","","",""
"9","121","115","127","71.4276611328125","68.95907592773438","73.29701232910156","","","","","",""
"10","125.9375","117","134","69.77673864364624","66.7081069946289","72.25789642333984","","","","","",""
"11","125.8","119","135","69.53843688964844","65.61336517333984","72.17769622802734","","","","","",""
"12","126.125","121","131","69.771240234375","68.83746337890625","70.73174285888672","","","","","",""
"13","126.5","124","129","70.83003616333008","70.68800354003906","70.9720687866211","","","","","",""
"14","130","125","136","68.76031239827473","64.2314224243164","71.16529846191406","","","","","",""
"15","129","126","137","68.60752716064454","64.21660614013672","70.2503433227539","","","","","",""
"16","133.5","133","134","68.99969482421875","68.90436553955078","69.09502410888672","","","","","",""
"17","131","128","134","69.37819417317708","67.72396087646484","70.82145690917969","","","","","",""
"18","134.2","131","138","67.51174697875976","63.733951568603516","69.80989837646484","","","","","",""
"19","133","129","136","68.42549324035645","67.60062408447266","69.09806823730469","","","","","",""
"20","136","130","139","67.24626007080079","62.83171081542969","68.87931823730469","","","","","",""
"21","134.6","131","138","68.28476104736328","66.85371398925781","69.7330551147461","","","","","",""
"22","139.33333333333334","139","140","66.58160146077473","65.93156433105469","67.44507598876953","","","","","",""
"23","138","133","141","66.2324612935384","62.40982437133789","69.77255249023438","","","","","",""
"24","139","136","142","65.74797058105469","65.2205810546875","66.27536010742188","","","","","",""
"25","138.5","134","143","67.61919021606445","66.07257080078125","69.16580963134766","","","","","",""
"26","137","135","140","66.19339179992676","64.29112243652344","67.91514587402344","","","","","",""
"27","145","144","146","65.76378885904948","64.56990051269531","66.8870620727539","","","","","",""
"28","141","138","147","65.5174346923828","64.53301239013672","66.60907745361328","","","","","",""
"29","142.6","137","149","64.8978141784668","62.19663619995117","66.9413833618164","","","","","",""
"30","145","139","151","65.08700180053711","63.50391387939453","66.92343139648438","","","","","",""
"31","141.5","141","142","64.90290451049805","64.89918518066406","64.90662384033203","","","","","",""
"32","146.5","141","152","64.41992568969727","63.78966522216797","65.05018615722656","","","","","",""
"34","142","142","142","60.947452545166016","60.947452545166016","60.947452545166016","","","","","",""
"35","153","153","153","63.31475067138672","63.31475067138672","63.31475067138672","","","","","",""
"36","142.5","142","143","64.65503692626953","64.45530700683594","64.85476684570312","","","","","",""
"38","148","142","154","63.84228706359863","63.1936149597168","64.49095916748047","","","","","",""
"39","149.5","144","155","63.24372673034668","62.942989349365234","63.544464111328125","","","","","",""
"40","143","143","143","62.38069725036621","60.69632339477539","64.06507110595703","","","","","",""
"41","145","145","145","62.97338104248047","62.97338104248047","62.97338104248047","","","","","",""
"42","149.5","143","156","64.07794380187988","62.57583999633789","65.58004760742188","","","","","",""
"43","144","144","144","63.2867431640625","63.2867431640625","63.2867431640625","","","","","",""
"44","","","","","","","0","0","0","109.20592498779297","107.28138732910156","111.13046264648438"
"46","144.66666666666666","144","146","62.67894617716471","60.961456298828125","65.65336608886719","0","0","0","105.71228790283203","105.71228790283203","105.71228790283203"
"47","","","","","","","0","0","0","112.56621551513672","112.56621551513672","112.56621551513672"
"50","145","145","145","65.15027618408203","65.15027618408203","65.15027618408203","0","0","0","108.13088989257812","108.13088989257812","108.13088989257812"
"51","151","145","157","62.61627388000488","61.0543098449707","64.17823791503906","","","","","",""
"54","145.5","145","146","62.629329681396484","60.163482666015625","65.09517669677734","","","","","",""
"57","146","146","146","60.46127700805664","60.46127700805664","60.46127700805664","","","","","",""
"59","146.5","146","147","63.58422088623047","63.18267059326172","63.98577117919922","","","","","",""
"60","147","147","147","65.09061431884766","65.09061431884766","65.09061431884766","","","","","",""
"63","147","147","147","59.715370178222656","59.715370178222656","59.715370178222656","","","","","",""
"64","153","148","158","61.86243438720703","60.065006256103516","63.65986251831055","","","","","",""
"67","147","147","147","63.26414108276367","63.26414108276367","63.26414108276367","","","","","",""
"69","148.5","148","149","62.9945182800293","61.62047576904297","64.36856079101562","","","","","",""
"70","159","159","159","59.40032958984375","59.40032958984375","59.40032958984375","","","","","",""
"71","148","148","148","61.248985290527344","60.31883239746094","62.17913818359375","","","","","",""
"74","149.5","149","150","61.7216796875","59.31438446044922","64.12897491455078","","","","","",""
"76","149","149","149","63.25566101074219","63.25566101074219","63.25566101074219","","","","","",""
"77","149","149","149","60.82795333862305","60.82795333862305","60.82795333862305","","","","","",""
"81","151","151","151","63.2309455871582","63.2309455871582","63.2309455871582","","","","","",""
"82","150","150","150","59.075836181640625","59.075836181640625","59.075836181640625","","","","","",""
