"ray/tune/info/num_steps_sampled","threshold_type: 7 - _step","threshold_type: 7 - _step__MIN","threshold_type: 7 - _step__MAX","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 7 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 5 - _step","threshold_type: 5 - _step__MIN","threshold_type: 5 - _step__MAX","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 5 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 3 - _step","threshold_type: 3 - _step__MIN","threshold_type: 3 - _step__MAX","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 3 - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: 1 - _step","threshold_type: 1 - _step__MIN","threshold_type: 1 - _step__MAX","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: 1 - ray/tune/custom_metrics/energy_cost_mean__MAX"
"100","0","0","0","114.79690704345703","111.85816192626953","119.0887451171875","0","0","0","114.3957290649414","110.89470672607422","119.11471557617188","0","0","0","113.68848724365235","109.8471908569336","116.11082458496094","0","0","0","114.08651428222656","112.83313751220703","115.39618682861328"
"200","1","1","1","109.39506530761719","107.29313659667969","110.858154296875","1","1","1","111.16799468994141","108.3046646118164","115.29337310791016","1","1","1","111.40287170410156","105.86080169677734","114.47779846191406","1","1","1","113.41160278320312","112.1802749633789","114.12712097167969"
"300","2","2","2","114.33722534179688","110.82039642333984","120.23085021972656","2","2","2","114.01782836914063","111.05166625976562","119.84456634521484","2","2","2","110.33324584960937","107.42833709716797","112.80393981933594","2","2","2","109.50771942138672","105.82160186767578","112.15189361572266"
"400","3","3","3","111.16776885986329","109.15095520019531","115.09938049316406","3","3","3","110.08041839599609","107.78026580810547","111.61604309082031","3","3","3","111.64470062255859","106.07780456542969","118.97871398925781","3","3","3","111.61136932373047","106.10530090332031","114.88760375976562"
"500","4","4","4","112.03927307128906","109.39234161376953","113.52610778808594","4","4","4","110.195947265625","107.40047454833984","111.63327026367188","4","4","4","110.54186248779297","107.02349090576172","115.09491729736328","4","4","4","111.34767150878906","107.80184936523438","117.17217254638672"
"600","5","5","5","109.51682739257812","106.21548461914062","112.77510070800781","5","5","5","109.01505737304687","105.19071960449219","111.5822525024414","5","5","5","111.13096313476562","108.81840515136719","115.30113220214844","5","5","5","111.94279479980469","105.3357925415039","117.9217300415039"
"700","6","6","6","109.57913208007812","108.39747619628906","111.36103057861328","6","6","6","110.45244750976562","107.64068603515625","112.64337921142578","6","6","6","114.5198471069336","109.01286315917969","118.8415756225586","6","6","6","110.78404235839844","108.38822174072266","112.98555755615234"
"800","7","7","7","110.62003479003906","108.11360931396484","113.37860107421875","7","7","7","111.37032623291016","108.77664184570312","113.6954574584961","7","7","7","109.57802124023438","108.4783935546875","111.8614730834961","7","7","7","112.4163803100586","111.37959289550781","113.55482482910156"
"900","8","8","8","109.8792709350586","106.59954833984375","115.16764831542969","8","8","8","109.01470489501953","104.99388122558594","111.24492645263672","8","8","8","108.79563751220704","103.42682647705078","111.05165100097656","8","8","8","110.78338775634765","108.34593200683594","113.95565795898438"
"1000","9","9","9","110.2009490966797","108.66217803955078","112.8647689819336","9","9","9","109.64195861816407","108.23734283447266","113.26487731933594","9","9","9","108.34431457519531","105.37184143066406","110.41426849365234","9","9","9","108.01231842041015","103.92008972167969","113.91223907470703"
"1100","10","10","10","110.09234466552735","108.41485595703125","111.4852294921875","10","10","10","109.86075286865234","108.10967254638672","112.80498504638672","10","10","10","109.0313232421875","107.45887756347656","110.63276672363281","10","10","10","111.86393585205079","109.69342041015625","114.16667175292969"
"1200","11","11","11","108.59855499267579","105.4642105102539","112.6122817993164","11","11","11","109.73088989257812","106.7682876586914","117.72916412353516","11","11","11","109.98556823730469","107.2958755493164","113.4835433959961","11","11","11","109.00579528808593","104.25960540771484","112.5040054321289"
"1300","12","12","12","109.27908935546876","104.83336639404297","113.37295532226562","12","12","12","109.88866424560547","107.29271697998047","112.83134460449219","12","12","12","111.55098266601563","106.11776733398438","114.61412048339844","12","12","12","111.34727783203125","108.46372985839844","114.72106170654297"
"1400","13","13","13","107.22813262939454","103.37689208984375","111.68653106689453","13","13","13","108.47767944335938","101.23678588867188","113.80851745605469","13","13","13","108.64988861083984","105.3375015258789","112.1534423828125","13","13","13","108.84612579345703","103.99044036865234","115.45112609863281"
"1500","14","14","14","106.81644897460937","102.6156005859375","108.3418197631836","14","14","14","108.80315704345703","106.56138610839844","110.62232971191406","14","14","14","109.93861236572266","108.39404296875","112.95675659179688","14","14","14","108.42365112304688","104.7903823852539","113.29096984863281"
